child_entity_id,parent_entity_id,relationship_type,ownership_percentage,effective_from,effective_to,source_system
ENT001618,ENT002864,Ultimate Parent,42.07,2018-03-17,2025-08-22,Internal Master
ENT001143,ENT002781,Subsidiary,0.16,2019-10-30,2027-12-10,ProviderA
ENT002140,ENT000482,Ultimate Parent,81.27,2023-07-21,2025-01-07,Internal Master
ENT004986,ENT002030,Subsidiary,37.77,2012-06-19,2027-04-28,ProviderB
ENT003679,ENT003679,Parent,62.29,2015-06-25,2026-12-06,Internal Master
ENT003328,ENT004371,Unknown,70.84,2023-10-10,2028-01-27,Internal Master
ENT002210,ENT001631,Affiliate,103.02,2023-09-23,2024-05-07,Internal Master
ENT003256,ENT000518,Subsidiary,26.9,2015-11-27,2025-01-08,Internal Master
ENT003503,ENT000102,Parent,97.23,2011-11-24,2028-07-30,ProviderA
ENT000911,ENT001341,Affiliate,73.04,2017-07-23,2025-02-16,Internal Master
ENT_UNKNOWN_27,ENT001912,Unknown,52.48,2014-06-17,2024-08-28,ProviderA
ENT000785,ENT002629,Affiliate,54.93,2013-06-09,2026-04-16,Internal Master
ENT001181,ENT001482,Parent,64.78,2017-04-19,2024-10-06,ProviderB
ENT001933,ENT003725,Parent,90.73,2010-02-15,2025-05-31,Internal Master
ENT003831,ENT002350,Affiliate,74.64,2011-12-08,2025-10-11,Internal Master
ENT000790,ENT003930,Affiliate,125.0,2018-09-19,2027-12-19,ProviderB
ENT002408,ENT000873,Unknown,37.72,2020-06-17,2026-07-08,ProviderA
ENT004666,ENT002579,Unknown,62.32,2013-09-06,2028-11-02,ProviderB
ENT002112,ENT001705,Unknown,24.93,2013-08-24,2025-09-30,ProviderA
ENT004466,ENT003486,Unknown,119.83,2023-03-11,2024-04-26,ProviderB
ENT003039,ENT000232,Affiliate,112.76,2018-01-06,2025-03-05,ProviderA
ENT004083,ENT003387,Ultimate Parent,58.99,2010-09-13,2027-03-26,ProviderA
ENT000597,ENT000164,Parent,83.75,2010-01-07,2025-04-24,ProviderB
ENT001997,ENT004371,Unknown,12.29,2020-12-10,2026-09-21,ProviderB
ENT001593,ENT003522,Parent,140.75,2019-05-31,2027-03-31,ProviderB
ENT002096,ENT002678,Ultimate Parent,31.33,2017-04-27,2025-06-02,Internal Master
ENT001384,ENT001362,Unknown,25.54,2013-09-13,2025-05-28,Internal Master
ENT001966,ENT002696,Unknown,144.62,2019-09-17,2025-01-12,ProviderB
ENT003083,ENT000878,Unknown,55.39,2022-09-04,2026-09-17,Internal Master
ENT002368,ENT004951,Subsidiary,150.0,2022-01-26,2024-09-11,ProviderA
ENT001137,ENT001711,Affiliate,37.51,2013-01-08,2026-01-31,Internal Master
ENT001256,ENT001027,Unknown,67.34,2022-08-09,2027-11-11,ProviderB
ENT000240,ENT004584,Subsidiary,86.03,2015-07-26,2027-02-15,ProviderB
ENT000008,ENT000728,Unknown,80.12,2011-06-20,2026-08-07,ProviderA
ENT000206,ENT000990,Ultimate Parent,69.3,2021-11-26,2027-01-11,Internal Master
ENT001370,ENT002673,Subsidiary,70.19,2018-06-30,2027-08-18,ProviderB
ENT003912,ENT002018,Ultimate Parent,74.77,2014-08-20,2026-08-11,ProviderB
ENT004870,ENT001344,Parent,85.29,2020-11-21,2028-05-13,ProviderA
ENT003454,ENT001520,Unknown,109.83,2012-12-19,2026-03-28,ProviderA
ENT000997,ENT001094,Ultimate Parent,53.13,2017-03-02,2028-09-11,Internal Master
ENT004291,ENT000947,Unknown,59.7,2019-06-10,2026-07-24,Internal Master
ENT000767,ENT003294,Unknown,48.28,2022-09-07,2027-11-02,ProviderA
ENT003420,ENT004091,Ultimate Parent,58.8,2018-08-17,2028-12-15,ProviderB
ENT000506,ENT001227,Subsidiary,60.24,2011-01-20,2028-11-25,ProviderA
ENT000264,ENT001329,Parent,75.33,2023-11-21,2026-04-02,ProviderB
ENT001712,ENT000012,Ultimate Parent,56.26,2020-10-03,2028-01-13,ProviderB
ENT003541,ENT001883,Ultimate Parent,124.3,2010-02-12,2025-04-06,ProviderB
ENT003057,ENT004250,Ultimate Parent,85.3,2021-10-16,2024-10-23,ProviderA
ENT002763,ENT003978,Ultimate Parent,77.86,2010-12-02,2025-09-18,Internal Master
ENT000791,ENT003224,Unknown,89.85,2018-08-21,2028-07-29,ProviderB
ENT004858,ENT003668,Affiliate,61.53,2017-08-24,2024-11-23,ProviderB
ENT004332,ENT003959,Unknown,109.71,2012-10-12,2026-03-04,ProviderA
ENT001161,ENT000645,Subsidiary,37.38,2020-06-10,2028-12-30,ProviderB
ENT004085,ENT004410,Ultimate Parent,35.73,2020-06-03,2024-06-25,Internal Master
ENT000393,ENT003694,Unknown,79.15,2019-07-17,2024-11-02,ProviderA
ENT001004,ENT001852,Unknown,70.87,2015-06-12,2025-01-22,Internal Master
ENT004207,ENT_UNKNOWN_36,Ultimate Parent,56.88,2022-07-26,2026-10-30,ProviderA
ENT003862,ENT004079,Parent,44.19,2019-04-18,2025-07-20,ProviderB
ENT002135,ENT001305,Subsidiary,47.42,2019-12-23,2027-05-07,ProviderB
ENT001752,ENT002199,Ultimate Parent,123.69,2013-10-24,2024-08-08,ProviderA
ENT002374,ENT000544,Ultimate Parent,86.52,2022-08-10,2024-05-14,ProviderA
ENT004001,ENT002492,Parent,-4.86,2022-07-22,2024-08-22,ProviderA
ENT003621,ENT000759,Subsidiary,83.41,2017-07-01,2028-07-31,ProviderA
ENT002845,ENT002659,Ultimate Parent,90.29,2023-08-20,2026-09-30,Internal Master
ENT000924,ENT000966,Parent,90.31,2021-08-26,2025-05-29,Internal Master
ENT000409,ENT002628,Ultimate Parent,48.48,2021-08-27,2027-03-21,Internal Master
ENT002278,ENT004370,Unknown,76.49,2016-03-12,2025-11-20,Internal Master
ENT002718,ENT003038,Subsidiary,100.73,2019-11-17,2027-07-24,ProviderA
ENT004052,ENT002878,Subsidiary,70.97,2016-12-20,2028-10-14,ProviderB
ENT002798,ENT001929,Subsidiary,51.63,2010-01-15,2026-02-09,ProviderA
ENT003001,ENT000333,Parent,62.18,2021-12-17,2028-11-22,ProviderA
ENT001111,ENT002822,Parent,87.06,2010-07-09,2025-06-25,ProviderA
ENT004562,ENT000298,Unknown,-25.0,2012-03-26,2026-01-09,ProviderB
ENT001676,ENT_UNKNOWN_1,Affiliate,86.5,2015-11-05,2024-12-10,ProviderB
ENT004371,ENT003883,Subsidiary,39.53,2015-04-05,2024-11-04,ProviderA
ENT003459,ENT002845,Unknown,65.35,2010-09-26,2028-01-17,Internal Master
ENT001382,ENT004643,Ultimate Parent,48.44,2017-11-29,2028-03-31,Internal Master
ENT002533,ENT003274,Affiliate,66.75,2021-08-05,2024-11-01,Internal Master
ENT004019,ENT003758,Subsidiary,33.7,2014-03-28,2027-01-27,ProviderA
ENT000621,ENT004339,Affiliate,50.5,2021-05-14,2024-02-21,ProviderA
ENT003213,ENT000758,Ultimate Parent,61.88,2011-07-07,2028-04-25,ProviderA
ENT001423,ENT000436,Parent,30.64,2014-04-05,2024-12-26,ProviderA
ENT000612,ENT003197,Parent,33.4,2019-04-03,2028-10-23,ProviderB
ENT002416,ENT002396,Affiliate,101.46,2011-02-14,2024-12-31,Internal Master
ENT001332,ENT004358,Parent,77.95,2019-04-01,2028-01-14,ProviderB
ENT000639,ENT001348,Parent,63.07,2020-07-01,2028-08-14,Internal Master
ENT003807,ENT004479,Unknown,66.79,2022-09-09,2026-07-26,ProviderA
ENT003569,ENT001828,Ultimate Parent,51.78,2011-09-18,2026-05-21,Internal Master
ENT004273,ENT003623,Affiliate,80.01,2014-01-02,2026-04-16,ProviderA
ENT003358,ENT000421,Parent,71.14,2013-06-16,2028-07-18,ProviderA
ENT000784,ENT002831,Unknown,41.25,2017-05-13,2028-08-24,ProviderA
ENT003727,ENT003352,Affiliate,57.49,2011-06-03,2027-05-12,Internal Master
ENT003556,ENT000251,Unknown,62.98,2020-07-20,2024-11-26,ProviderB
ENT001920,ENT004504,Subsidiary,68.12,2019-02-16,2024-10-07,Internal Master
ENT001646,ENT004851,Ultimate Parent,23.98,2010-11-15,2027-07-26,Internal Master
ENT004598,ENT003411,Affiliate,82.24,2020-07-18,2027-06-15,ProviderA
ENT000927,ENT004803,Affiliate,58.36,2021-01-30,2026-02-23,ProviderB
ENT000629,ENT000598,Parent,78.71,2023-01-13,2028-11-06,ProviderA
ENT000498,ENT002784,Parent,49.84,2018-07-10,2027-02-24,ProviderB
ENT004913,ENT001383,Ultimate Parent,26.99,2020-03-07,2024-06-16,ProviderB
ENT000499,ENT001904,Ultimate Parent,18.17,2016-06-14,2027-07-28,ProviderB
ENT001649,ENT000783,Subsidiary,4.07,2020-08-03,2027-08-10,Internal Master
ENT002338,ENT001933,Subsidiary,37.86,2020-12-24,2025-05-29,Internal Master
ENT004054,ENT001191,Parent,73.88,2015-03-12,2028-06-19,Internal Master
ENT000587,ENT001343,Parent,108.14,2011-10-06,2024-08-08,ProviderA
ENT001791,ENT004178,Unknown,58.1,2018-11-26,2028-10-06,Internal Master
ENT003061,ENT003595,Unknown,26.52,2016-04-30,2027-10-21,ProviderB
ENT003255,ENT004875,Subsidiary,67.73,2010-01-31,2024-12-26,ProviderB
ENT004167,ENT001888,Affiliate,58.92,2013-04-10,2025-05-21,Internal Master
ENT000300,ENT000909,Subsidiary,-25.0,2010-06-20,2024-09-16,Internal Master
ENT002134,ENT000668,Parent,28.5,2023-01-20,2027-06-03,ProviderA
ENT004471,ENT002037,Subsidiary,67.35,2013-11-12,2028-09-07,ProviderB
ENT003130,ENT001736,Subsidiary,43.36,2021-07-01,2026-03-12,Internal Master
ENT004653,ENT000111,Subsidiary,87.73,2020-06-18,2028-08-02,Internal Master
ENT004224,ENT003163,Unknown,44.74,2018-11-27,2027-08-22,Internal Master
ENT004871,ENT001594,Ultimate Parent,69.9,2022-06-21,2024-06-07,ProviderA
ENT004162,ENT003975,Unknown,74.09,2013-10-21,2027-11-14,ProviderB
ENT002527,ENT003484,Unknown,100.55,2021-05-13,2028-11-29,ProviderA
ENT001584,ENT002059,Ultimate Parent,54.51,2019-12-07,2028-12-21,Internal Master
ENT001931,ENT004787,Unknown,50.05,2011-01-13,2024-03-05,ProviderB
ENT002857,ENT002325,Unknown,33.2,2012-03-01,2028-02-21,ProviderA
ENT004171,ENT003224,Subsidiary,15.12,2021-06-03,2026-11-04,ProviderA
ENT002400,ENT002983,Subsidiary,69.01,2014-03-20,2025-01-07,ProviderB
ENT002600,ENT001419,Ultimate Parent,80.93,2020-05-12,2024-02-16,ProviderB
ENT000606,ENT001249,Unknown,90.72,2022-08-24,2028-10-14,ProviderA
ENT003272,ENT003527,Parent,75.15,2018-08-17,2024-05-25,ProviderB
ENT001009,ENT003068,Subsidiary,138.26,2017-10-15,2028-04-07,Internal Master
ENT002377,ENT002398,Unknown,106.64,2018-06-24,2026-01-03,Internal Master
ENT000426,ENT001282,Ultimate Parent,83.37,2012-04-12,2025-11-27,ProviderA
ENT002867,ENT002532,Ultimate Parent,78.52,2014-08-13,2025-11-22,Internal Master
ENT001123,ENT003331,Parent,85.31,2020-01-17,2024-08-12,ProviderA
ENT003531,ENT004812,Parent,31.19,2023-10-28,2024-05-22,ProviderB
ENT004838,ENT004100,Ultimate Parent,71.17,2013-05-03,2026-12-28,Internal Master
ENT000211,ENT001575,Ultimate Parent,53.15,2023-09-13,2025-02-13,ProviderB
ENT004580,ENT001705,Unknown,58.59,2018-07-03,2028-11-24,Internal Master
ENT001485,ENT000523,Unknown,61.65,2010-04-29,2025-09-03,Internal Master
ENT004158,ENT004618,Affiliate,71.44,2019-09-28,2026-07-14,ProviderB
ENT003855,ENT000916,Ultimate Parent,40.57,2014-10-21,2024-09-19,Internal Master
ENT004275,ENT004958,Affiliate,37.42,2019-10-19,2028-05-25,Internal Master
ENT003335,ENT001388,Parent,39.03,2019-07-18,2026-08-13,ProviderB
ENT004644,ENT003115,Affiliate,90.89,2019-01-29,2024-10-30,ProviderA
ENT000074,ENT000332,Parent,125.0,2020-04-07,2024-03-02,ProviderB
ENT000951,ENT000325,Subsidiary,36.83,2018-07-20,2024-11-30,ProviderB
ENT000443,ENT003373,Ultimate Parent,92.48,2012-09-09,2026-05-11,Internal Master
ENT002932,ENT002281,Ultimate Parent,70.44,2018-03-21,2026-08-11,ProviderA
ENT000312,ENT004293,Ultimate Parent,66.19,2018-06-15,2024-11-25,ProviderB
ENT001902,ENT002072,Parent,66.3,2012-07-22,2028-11-02,ProviderB
ENT001612,ENT001901,Unknown,14.84,2019-02-20,2024-08-25,Internal Master
ENT000973,ENT000973,Unknown,40.34,2012-02-16,2027-05-31,ProviderA
ENT003667,ENT001452,Affiliate,28.53,2011-10-28,2026-12-07,ProviderA
ENT000691,ENT001032,Subsidiary,34.61,2010-04-13,2027-04-30,ProviderB
ENT002566,ENT001527,Unknown,68.27,2014-06-07,2024-07-11,Internal Master
ENT004386,ENT004430,Unknown,134.95,2018-12-29,2028-07-28,Internal Master
ENT_UNKNOWN_13,ENT003690,Parent,98.48,2020-01-05,2028-01-23,Internal Master
ENT003224,ENT000651,Parent,104.27,2016-07-09,2024-10-26,ProviderB
ENT004792,ENT000537,Subsidiary,29.28,2021-08-09,2026-08-28,ProviderB
ENT003577,ENT002722,Subsidiary,92.34,2019-03-19,2028-07-25,Internal Master
ENT004036,ENT000351,Ultimate Parent,63.05,2016-12-20,2027-02-24,ProviderA
ENT004500,ENT004084,Affiliate,33.64,2013-03-26,2027-10-23,ProviderA
ENT003297,ENT004395,Unknown,44.27,2010-09-07,2027-03-01,Internal Master
ENT000953,ENT001094,Unknown,83.14,2015-11-01,2025-03-05,ProviderA
ENT003856,ENT001002,Subsidiary,151.23,2011-08-11,2026-03-12,ProviderB
ENT_UNKNOWN_15,ENT001485,Ultimate Parent,62.13,2023-08-01,2028-12-14,ProviderB
ENT002289,ENT003949,Parent,59.24,2011-12-25,2027-07-19,Internal Master
ENT002482,ENT003463,Ultimate Parent,92.57,2022-02-11,2025-07-20,ProviderA
ENT002486,ENT001460,Parent,43.96,2010-05-02,2026-01-22,ProviderB
ENT001738,ENT002158,Subsidiary,90.02,2023-09-24,2028-02-28,ProviderB
ENT001182,ENT_UNKNOWN_38,Parent,94.59,2017-02-16,2025-10-19,Internal Master
ENT004734,ENT003242,Ultimate Parent,105.47,2018-11-20,2027-02-21,ProviderA
ENT002011,ENT002304,Ultimate Parent,66.5,2018-01-08,2024-08-30,ProviderB
ENT001317,ENT001736,Ultimate Parent,52.38,2012-05-29,2027-06-23,ProviderB
ENT003047,ENT000356,Parent,22.2,2014-05-14,2027-11-17,ProviderA
ENT004340,ENT004695,Ultimate Parent,116.91,2010-02-20,2028-01-09,Internal Master
ENT001470,ENT001737,Unknown,-4.29,2016-06-11,2027-02-15,Internal Master
ENT000819,ENT004735,Affiliate,71.88,2021-06-21,2024-03-02,ProviderB
ENT003609,ENT002766,Ultimate Parent,71.97,2011-03-16,2028-06-01,ProviderB
ENT003033,ENT001071,Parent,58.87,2013-09-23,2027-05-17,Internal Master
ENT001789,ENT004790,Parent,97.58,2022-09-25,2028-06-19,ProviderB
ENT003133,ENT002973,Parent,128.38,2012-08-12,2026-04-22,ProviderA
ENT004537,ENT002705,Affiliate,66.32,2017-08-17,2024-04-05,Internal Master
ENT001680,ENT003439,Unknown,88.6,2014-07-31,2025-12-21,Internal Master
ENT001824,ENT004066,Unknown,88.96,2021-10-23,2027-11-03,Internal Master
ENT003086,ENT000521,Affiliate,61.66,2013-04-27,2024-09-29,ProviderB
ENT002374,ENT003802,Parent,69.55,2013-05-01,2025-06-28,ProviderB
ENT004748,ENT002018,Ultimate Parent,70.72,2012-05-20,2024-07-20,Internal Master
ENT000809,ENT004948,Affiliate,45.82,2015-04-25,2025-08-19,ProviderA
ENT001886,ENT004679,Parent,85.0,2010-04-10,2027-08-24,ProviderA
ENT003584,ENT004388,Affiliate,87.53,2021-02-23,2028-02-15,Internal Master
ENT000603,ENT003297,Parent,59.65,2010-06-19,2027-02-20,Internal Master
ENT003813,ENT003872,Unknown,99.4,2020-12-10,2026-09-12,Internal Master
ENT002312,ENT002846,Subsidiary,24.59,2010-12-05,2027-11-22,Internal Master
ENT002093,ENT004520,Parent,28.22,2023-12-18,2024-08-17,ProviderB
ENT000518,ENT004144,Unknown,109.01,2015-12-05,2027-10-17,ProviderB
ENT001090,ENT004413,Ultimate Parent,31.81,2014-08-28,2028-07-13,ProviderB
ENT003324,ENT001622,Affiliate,94.5,2021-07-23,2027-03-30,Internal Master
ENT000105,ENT004553,Parent,35.33,2016-11-29,2025-04-02,ProviderA
ENT003735,ENT003811,Parent,80.78,2014-12-21,2024-10-13,Internal Master
ENT002723,ENT004536,Parent,71.67,2010-02-06,2026-06-04,ProviderA
ENT000179,ENT001208,Subsidiary,57.46,2014-05-01,2027-05-22,Internal Master
ENT004056,ENT001068,Affiliate,64.05,2012-05-09,2027-04-09,ProviderA
ENT004196,ENT002363,Subsidiary,56.78,2023-03-06,2027-09-03,ProviderA
ENT001344,ENT002917,Ultimate Parent,16.04,2023-06-27,2025-10-30,ProviderA
ENT003463,ENT004714,Unknown,81.44,2015-02-17,2024-11-04,ProviderB
ENT000182,ENT001532,Ultimate Parent,36.86,2017-07-11,2028-03-22,Internal Master
ENT002252,ENT001065,Parent,101.69,2018-04-30,2025-04-28,ProviderB
ENT002711,ENT001998,Affiliate,89.28,2018-07-24,2026-11-14,Internal Master
ENT000030,ENT003882,Ultimate Parent,37.05,2022-01-07,2027-09-16,Internal Master
ENT003019,ENT002274,Parent,94.31,2017-12-06,2028-04-01,ProviderB
ENT000903,ENT001287,Parent,60.72,2014-07-21,2025-09-06,ProviderA
