provider_record_id,provider_name,legal_name,country_code,registration_number,sector,status,confidence_score,feed_date
PRV0000074,ProviderA,Atlas Industries ,JP,JP-328520,Healthcare,Active,0.685,2025-03-26
PRV0000075,ProviderB,Falcon Investments,NG,NG-562340,Consumer Goods,Active,0.978,2025-02-22
PRV0000076,ProviderC,Helios Partners,BR,BR-651741,Industrials,Inactive,0.9,2024-06-27
PRV0000077,ProviderB,Silvergate Technologies ,ZA,ZA-433481,Materials,Active,0.749,2025-03-19
PRV0000078,ProviderB,Atlas Industries,NG,NG-403368,Real Estate,Active,1.105,2024-07-10
PRV0000079,ProviderB,Silvergate Group,BR,BR-153901,Healthcare,Active,0.766,2024-01-19
PRV0000080,ProviderB,Meridian Holdings,HK,HK-971295,Real Estate,Dissolved,1.066,2024-10-05
PRV0000081,ProviderA,Riverstone Investments,CH,CH-351519,Industrials,Active,0.862,2025-01-12
PRV0000082,ProviderB,Oakwell Industries,US,US-564587,Financials,Active,0.613,2024-06-14
PRV0000083,ProviderA,Frontier Technologies,US,US-206449,Real Estate,Unknown,1.062,2024-04-06
PRV0000084,ProviderB,Cedar Finance,NL,NL-883190,Telecommunications,Active,0.821,2024-03-22
PRV0000085,ProviderC,Oakwell Partners,GB,GB-272873,Healthcare,Active,0.743,2024-03-03
PRV0000086,ProviderB,Lagos Continental Industries,LU,LU-859213,Consumer Goods,Active,0.923,2024-05-19
PRV0000087,ProviderB,Northbridge Capital,IE,IE-306601,Technology,Dissolved,0.749,2024-01-18
PRV0000088,ProviderA,BluePeak PLC,BR,BR-908181,Materials,Inactive,1.187,2025-01-08
PRV0000089,ProviderB,Lagos Continental Partners,LU,LU-603585,Energy,Active,0.748,2024-11-06
PRV0000090,ProviderA,Riverstone Ltd,LU,LU-926087,Utilities,Merged,1.085,2024-07-20
PRV0000091,ProviderC,Oakwell Ltd,,AE-333097,Industrials,Merged,0.698,2024-09-29
PRV0000092,ProviderB,GRANITE ENERGY,NL,NL-806607,Consumer Goods,Unknown,0.892,2024-03-07
PRV0000093,ProviderB,Falcon Technologies,SG,SG-512119,Consumer Goods,Active,0.896,2024-03-06
PRV0000094,ProviderB,Riverstone Services,NG,NG-779560,Industrials,Unknown,0.785,2024-07-22
PRV0000095,ProviderA,Riverstone PLC,CA,CA-614498,Consumer Goods,Active,1.021,2024-02-20
PRV0000096,ProviderC,Union Investments,FR,FR-988831,Technology,Active,1.083,2024-03-16
PRV0000097,ProviderA,Cedar Technologies,SG,SG-188234,Energy,Inactive,0.786,2024-08-15
PRV0000098,ProviderA,Cedar Partners,GB,GB-833782,Technology,Active,0.681,2024-04-01
PRV0000099,ProviderB,Westbridge Group,AE,AE-991098,Industrials,Dissolved,0.738,2024-05-30
PRV0000100,ProviderA,Frontier Partners,NG,NG-994071,Technology,Inactive,1.082,2024-01-13
PRV0000101,ProviderC,Horizon Investments,ZA,ZA-622640,Energy,Active,0.89,2024-09-23
PRV0000102,ProviderC,STERLING LTD,IE,IE-441776,Industrials,Active,0.969,2024-06-11
PRV0000103,ProviderB,Greenfield Group ,SG,SG-214096,Real Estate,Dissolved,0.921,2024-12-26
PRV0000104,ProviderC,Riverstone Ltd,FR,FR-621356,Real Estate,Active,0.765,2024-06-26
PRV0000105,ProviderC,Albion Capital,GB,GB-230334,Energy,Active,1.006,2024-02-24
PRV0000106,ProviderB,Riverstone Corp,GB,GB-336538,Consumer Goods,Active,0.737,2024-04-24
PRV0000107,ProviderB,BLUEPEAK FINANCE,JP,JP-446360,Telecommunications,Active,1.147,2024-08-12
PRV0000108,ProviderB,Helios Industries ,CH,CH-420793,Real Estate,Active,0.724,2024-05-20
PRV0000109,ProviderB,Redwood Investments,SG,SG-811856,Materials,Active,1.041,2024-08-31
PRV0000110,ProviderB,Riverstone Services,IE,,Telecommunications,Inactive,0.813,2024-09-08
PRV0000111,ProviderB,Redwood Ltd,JP,JP-677424,Financials,Active,0.781,2024-11-23
PRV0000112,ProviderC,Crestline Investments,FR,FR-817915,Financials,Active,0.712,2024-03-06
PRV0000113,ProviderC,Frontier Group,US,US-597361,Consumer Goods,Active,0.804,2024-02-26
PRV0000114,ProviderA,,JP,JP-232183,Utilities,Active,0.857,2024-02-23
PRV0000115,ProviderB,Greenfield Partners,JP,JP-295076,Healthcare,Unknown,1.141,2024-07-24
PRV0000116,ProviderC,Granite Technologies,AE,AE-466301,Real Estate,Unknown,0.559,2024-07-05
PRV0000117,ProviderB,Meridian Corp,GB,GB-438473,Consumer Goods,Running,1.007,2024-12-02
PRV0000118,ProviderB,Silvergate Partners,CA,,Consumer Goods,Unknown,0.818,2025-03-11
PRV0000119,ProviderC,Crestline Investments,FR,FR-868628,Consumer Goods,Inactive,0.752,2024-03-02
PRV0000120,ProviderB,Nova Finance,,IN-935352,Utilities,Active,1.008,2024-01-06
PRV0000121,ProviderB,Korefield Services,GB,GB-437817,Telecommunications,Active,0.589,2024-03-29
PRV0000122,ProviderB,Greenfield Services,SG,SG-675420,Technology,Inactive,0.892,2025-02-24
PRV0000123,ProviderB,Silvergate Group,US,US-502997,Real Estate,Active,1.011,2024-12-22
PRV0000124,ProviderC,Meridian Industries,AU,AU-699236,Materials,Active,0.82,2024-03-19
PRV0000125,ProviderA,Westbridge Industries,CH,CH-477860,Industrials,Merged,0.71,2024-02-13
PRV0000126,ProviderC,,AU,AU-590272,Financials,Active,0.965,2024-05-17
PRV0000127,ProviderA,Silvergate Ltd,LU,LU-165570,Telecommunications,Inactive,0.534,2024-05-07
PRV0000128,ProviderC,Riverstone Capital,,LU-912881,Real Estate,Active,0.7,2024-07-23
PRV0000129,ProviderB,Albion Services,JP,JP-801553,Telecommunications,Inactive,0.717,2024-03-08
PRV0000130,ProviderA,Redwood PLC,IE,,Consumer Goods,Active,0.841,2024-11-28
PRV0000131,ProviderC,Sterling Partners,CA,CA-443587,Financials,Active,0.806,2024-09-14
PRV0000132,ProviderB,Sterling Finance,LU,LU-877205,Telecommunications,Active,0.704,2024-04-03
PRV0000133,ProviderB,Union Holdings,IE,IE-687753,Technology,Active,0.883,2024-06-16
PRV0000134,ProviderC,Sterling Industries,GB,GB-665625,Telecommunications,Active,0.88,2024-11-06
PRV0000135,ProviderB,Riverstone Ltd,SG,SG-371450,Utilities,Active,0.966,2024-10-08
PRV0000136,ProviderA,Horizon Capital,GB,GB-360324,Technology,Active,0.81,2024-10-22
PRV0000137,ProviderC,BluePeak PLC,CA,CA-803234,Energy,Active,0.996,2024-03-15
PRV0000138,ProviderA,Summit Holdings,ZA,ZA-504024,Energy,Inactive,,2024-08-07
PRV0000139,ProviderB,Union Partners,IN,IN-680590,Technology,Unknown,0.813,2024-03-18
PRV0000140,ProviderB,Lagos Continental Holdings,CH,CH-225904,Real Estate,,0.729,2025-02-26
PRV0000141,ProviderB,Silvergate Group,JP,JP-572889,Technology,Active,0.635,2025-02-02
PRV0000142,ProviderA,BluePeak Partners,XX,DE-687026,Utilities,Active,0.799,2025-02-26
PRV0000143,ProviderC,HORIZON SERVICES,FR,FR-314511,Technology,Active,0.684,2024-09-29
PRV0000144,ProviderC,Sterling Technologies,SG,SG-565816,Industrials,Dissolved,0.726,2024-06-09
PRV0000145,ProviderC,Union Capital,NL,NL-332393,Energy,Active,0.839,2024-05-29
PRV0000146,ProviderA,Crestline Energy,NG,NG-935391,Energy,Inactive,1.5,2025-01-26
PRV0000147,ProviderB,Silvergate Energy,HK,HK-774197,Financials,Dissolved,0.517,2024-04-13
PRV0000148,ProviderA,Meridian Ltd,JP,,Financials,Merged,0.821,2024-09-14
PRV0000149,ProviderB,Sterling PLC,NL,NL-742132,Industrials,Inactive,0.981,2024-12-20
PRV0000150,ProviderB,Frontier Group,NG,NG-508428,Industrials,Active,0.463,2024-01-13
PRV0000151,ProviderC,Frontier Industries,FR,FR-228764,Real Estate,Active,0.976,2024-05-09
PRV0000152,ProviderB,Horizon Ltd,BR,BR-233847,Technology,Active,0.665,2024-12-30
PRV0000153,ProviderA,Northbridge Corp,SG,SG-342242,Industrials,Active,1.055,2024-05-20
PRV0000154,ProviderA,Riverstone Group,AE,AE-411710,Technology,Active,0.928,2024-07-12
PRV0000155,ProviderB,PrimeEdge Technologies,CH,CH-955742,Materials,Active,0.841,2024-08-21
PRV0000156,ProviderB,Lagos Continental Partners,LU,LU-603585,Energy,Active,0.892,2024-07-29
PRV0000157,ProviderB,,IE,IE-683932,Materials,Inactive,0.992,2024-02-08
PRV0000158,ProviderB,Cedar Holdings,IE,IE-867182,Healthcare,Active,0.65,2024-06-19
PRV0000159,ProviderA,Riverstone Investments,AU,AU-943371,Industrials,Active,1.074,2024-04-28
PRV0000160,ProviderC,Lagos Continental PLC,AE,AE-880838,Industrials,Active,0.996,2024-05-21
PRV0000161,ProviderB,Cedar Industries,FR,FR-351177,Financials,Dissolved,0.582,2025-02-25
PRV0000162,ProviderC,Falcon Corp,SG,SG-133679,Consumer Goods,Active,0.831,2024-10-03
PRV0000163,ProviderC,BluePeak Services,BR,BR-773203,Telecommunications,Active,0.965,2024-01-25
PRV0000164,ProviderC,HORIZON CAPITAL,SG,,Industrials,Active,0.891,2024-09-22
PRV0000165,ProviderC,Cedar Group,CH,CH-554592,Consumer Goods,Active,0.847,2024-01-03
PRV0000166,ProviderC,Redwood Ltd,CH,CH-655768,Consumer Goods,Active,0.995,2024-08-14
PRV0000167,ProviderC,Cedar Group,DE,DE-647076,Energy,Merged,0.699,2025-02-26
PRV0000168,ProviderB,Falcon Industries,BR,BR-983187,Energy,Active,0.718,2025-03-23
PRV0000169,ProviderC,HORIZON ENERGY,GB,GB-322849,Materials,Active,0.919,2024-04-07
PRV0000170,ProviderA,Riverstone Partners,NL,NL-610832,Utilities,Active,0.729,2024-11-04
PRV0000171,ProviderA,BluePeak Ltd,HK,HK-929051,Consumer Goods,Active,1.197,2024-10-10
PRV0000172,ProviderA,NOVA PLC,CA,CA-454705,Energy,Inactive,0.892,2024-07-18
PRV0000173,ProviderA,Summit Technologies,HK,HK-611991,Telecommunications,Active,0.655,2025-02-07
PRV0000174,ProviderA,Oakwell Capital,FR,FR-504604,Telecommunications,Unknown,0.559,2025-02-04
PRV0000175,ProviderB,Meridian Technologies,LU,LU-717641,Real Estate,Inactive,0.886,2024-10-19
PRV0000176,ProviderA,MERIDIAN HOLDINGS,,AU-990714,Technology,Active,0.939,2024-06-25
PRV0000177,ProviderA,Silvergate Partners,US,US-682308,Utilities,Active,0.802,2025-02-03
PRV0000178,ProviderC,Albion Finance,JP,JP-866443,Real Estate,Active,0.979,2024-09-01
PRV0000179,ProviderB,Albion Technologies,AU,AU-689591,Real Estate,Active,0.767,2025-03-25
PRV0000180,ProviderA,Nova Corp,CH,CH-352626,Real Estate,Active,0.77,2024-11-03
PRV0000181,ProviderB,BluePeak Finance,AE,AE-687277,Real Estate,Active,1.08,2024-04-29
PRV0000182,ProviderB,Union Energy,JP,JP-114023,Real Estate,Unknown,0.932,2025-01-07
PRV0000183,ProviderA,GRANITE PLC,LU,LU-379702,Industrials,Active,0.578,2024-03-11
PRV0000184,ProviderA,Riverstone Partners ,AU,AU-793045,Financials,Inactive,0.55,2024-07-30
PRV0000185,ProviderA,Riverstone PLC ,CH,CH-698937,Financials,Active,0.66,2024-11-24
PRV0000186,ProviderC,Oakwell PLC,JP,JP-973349,Energy,Active,0.545,2024-09-04
PRV0000187,ProviderA,Greenfield Services,AU,AU-227619,Energy,Inactive,0.819,2024-10-14
PRV0000188,ProviderA,Meridian Industries,FR,,Technology,Active,0.806,2024-07-03
PRV0000189,ProviderB,Falcon Capital ,AU,AU-834143,Industrials,Active,0.554,2024-04-21
PRV0000190,ProviderB,Albion Investments,NG,NG-441200,Industrials,Inactive,0.864,2024-09-30
PRV0000191,ProviderC,BluePeak Partners,ZA,ZA-532742,Healthcare,Active,0.691,2024-04-08
PRV0000192,ProviderC,Greenfield Corp,JP,JP-448869,Utilities,Inactive,0.661,2024-06-04
PRV0000193,ProviderC,Riverstone Partners,SG,SG-489762,Real Estate,Active,0.902,2024-05-28
PRV0000194,ProviderB,Redwood Ltd,IN,IN-766793,Consumer Goods,Active,0.618,2025-03-10
PRV0000195,ProviderC,Greenfield Capital,HK,HK-678904,Energy,,0.691,2024-12-10
PRV0000196,ProviderB,Horizon Services,NG,NG-929525,Materials,Active,0.768,2024-03-05
PRV0000197,ProviderC,Lagos Continental Capital,SG,SG-460510,Real Estate,Active,0.78,2024-02-13
PRV0000198,ProviderC,Sterling Services,BR,BR-840189,Financials,Dissolved,0.881,2024-10-06
PRV0000199,ProviderA,ALBION GROUP,AE,AE-672845,Financials,Unknown,0.765,2025-01-19
PRV0000200,ProviderC,Riverstone Holdings,ZA,ZA-175493,Energy,Active,0.539,2024-06-08
PRV0000201,ProviderB,Granite Group,HK,HK-760724,Industrials,Active,0.656,2025-02-15
PRV0000202,ProviderC,KOREFIELD GROUP,US,US-284627,Industrials,Active,0.853,2024-07-20
PRV0000203,ProviderC,Silvergate PLC,BR,BR-803785,Real Estate,Active,0.651,2024-10-19
PRV0000204,ProviderB,Meridian Services,ZA,ZA-431586,Telecommunications,Active,0.848,2024-09-13
PRV0000205,ProviderB,Unknown Entity,US,US-126930,Financials,Active,1.2,2024-10-17
PRV0000206,ProviderA,Atlas Partners,LU,LU-836278,Energy,Active,0.868,2024-01-05
PRV0000207,ProviderB,BluePeak Industries,ZA,ZA-893476,Industrials,Active,0.621,2024-02-23
PRV0000208,ProviderA,KOREFIELD PARTNERS,IE,IE-202791,Utilities,Active,0.844,2024-12-12
PRV0000209,ProviderA,Cedar Investments,DE,DE-701074,Healthcare,Active,0.492,2024-12-31
PRV0000210,ProviderC,Nova Industries,IN,IN-408307,Financials,Active,0.62,2024-01-25
PRV0000211,ProviderB,REDWOOD INDUSTRIES,AE,AE-209299,Telecommunications,Active,0.783,2024-07-22
PRV0000212,ProviderC,Granite Ltd,NL,NL-413027,Consumer Goods,Active,0.694,2024-09-30
PRV0000213,ProviderB,Redwood Industries,US,US-339494,Utilities,Active,0.718,2024-01-14
PRV0000214,ProviderA,Summit Energy,FR,FR-891322,Energy,Unknown,0.725,2025-03-21
PRV0000215,ProviderC,Cedar Group,HK,HK-876951,Real Estate,Active,0.489,2024-10-11
PRV0000216,ProviderB,Silvergate Energy,FR,FR-888975,Technology,Unknown,0.745,2024-06-08
PRV0000217,ProviderA,Atlas Industries,JP,JP-328520,Healthcare,Active,1.212,2024-10-24
PRV0000218,ProviderC,Horizon PLC,HK,HK-496945,Consumer Goods,Unknown,0.872,2024-08-17
PRV0000219,ProviderC,Korefield Energy,ZA,ZA-514966,Consumer Goods,Inactive,0.849,2025-03-13
PRV0000220,ProviderC,Frontier Group,JP,JP-591132,Consumer Goods,Active,0.808,2024-10-19
PRV0000221,ProviderC,Riverstone Energy,HK,HK-966351,Real Estate,Merged,0.585,2024-10-13
PRV0000222,ProviderB,Riverstone Investments,JP,JP-230081,Real Estate,Active,0.873,2024-11-11
PRV0000223,ProviderA,Crestline PLC,AU,AU-531349,Real Estate,Active,0.64,2024-12-26
PRV0000224,ProviderC,Lagos Continental Ltd,LU,LU-889641,Industrials,Dissolved,0.951,2024-11-17
PRV0000225,ProviderA,RIVERSTONE FINANCE,CH,CH-160409,Technology,Active,0.921,2024-03-12
PRV0000226,ProviderA,Cedar Finance,BR,BR-456030,Industrials,Merged,0.536,2024-05-05
PRV0000227,ProviderB,BluePeak Investments,HK,HK-128873,Utilities,Active,0.71,2024-09-23
PRV0000228,ProviderB,Cedar Technologies,US,US-301232,Consumer Goods,Inactive,1.2,2024-04-18
PRV0000229,ProviderA,Cedar Technologies ,CH,CH-877537,Industrials,Active,1.038,2024-10-08
PRV0000230,ProviderB,Atlas Investments,CH,CH-779185,Telecommunications,Active,0.815,2024-12-02
PRV0000231,ProviderB,Falcon Ltd,SG,SG-537456,Healthcare,Active,0.854,2024-11-08
PRV0000232,ProviderB,Frontier PLC,IN,IN-676576,Financials,Active,0.8,2025-01-23
PRV0000233,ProviderB,Meridian Capital,JP,JP-546993,Healthcare,Active,0.811,2024-01-15
PRV0000234,ProviderA,Union Partners,BR,BR-556724,Real Estate,Active,0.712,2025-02-04
PRV0000235,ProviderA,Helios Investments,ZA,ZA-789475,Technology,Merged,0.697,2025-01-30
PRV0000236,ProviderA,Sterling Services,ZA,ZA-442487,Industrials,Active,0.85,2024-03-15
PRV0000237,ProviderB,Riverstone Technologies,GB,GB-227920,Technology,Inactive,0.601,2025-01-30
PRV0000238,ProviderC,Westbridge Ltd ,US,US-534647,Energy,Unknown,1.087,2024-02-12
PRV0000239,ProviderA,Nova Services,DE,DE-833815,Materials,Active,,2024-08-06
PRV0000240,ProviderA,MERIDIAN HOLDINGS,AE,AE-471367,Technology,Active,0.847,2024-02-15
PRV0000241,ProviderA,PrimeEdge PLC,IN,IN-593509,Healthcare,Inactive,1.036,2024-05-19
PRV0000242,ProviderC,Sterling Holdings,BR,BR-112826,Consumer Goods,Merged,0.886,2024-10-30
PRV0000243,ProviderA,Unknown Entity,IE,IE-229070,Materials,Active,0.946,2024-02-21
PRV0000244,ProviderA,Summit Ltd,NL,NL-462471,Real Estate,Unknown,0.995,2024-02-29
PRV0000245,ProviderC,Horizon Finance,BR,,Telecommunications,Active,0.624,2024-12-01
PRV0000246,ProviderA,GREENFIELD SERVICES,FR,FR-800497,Energy,Active,0.655,2024-01-05
PRV0000247,ProviderC,Atlas Capital,IN,IN-845121,Utilities,Active,0.764,2024-08-28
PRV0000248,ProviderB,Falcon Ltd,CH,CH-373201,Industrials,Unknown,0.936,2024-06-18
PRV0000249,ProviderC,Sterling Ltd,CH,CH-796277,Healthcare,Active,0.726,2024-01-28
PRV0000250,ProviderA,Albion PLC,DE,DE-987796,Healthcare,Merged,0.964,2024-10-03
PRV0000251,ProviderA,Greenfield Group,NG,NG-732784,Utilities,Active,0.84,2025-01-22
PRV0000252,ProviderB,Northbridge Investments,NL,NL-431407,Healthcare,Active,1.167,2024-12-21
PRV0000253,ProviderA,REDWOOD INDUSTRIES,NG,NG-752569,Industrials,Active,0.704,2024-12-05
PRV0000254,ProviderB,Helios Ltd,JP,JP-187627,Healthcare,Unknown,0.878,2024-06-25
PRV0000255,ProviderB,Redwood Ltd,JP,JP-677424,Financials,Active,0.737,2024-01-02
PRV0000256,ProviderB,Silvergate Holdings,LU,LU-992252,Utilities,Active,0.891,2024-08-23
PRV0000257,ProviderA,Sterling Energy,,NL-957370,Real Estate,Unknown,0.691,2024-05-30
PRV0000258,ProviderC,Riverstone Energy,NL,NL-377202,Financials,Unknown,0.903,2025-03-27
PRV0000259,ProviderB,Frontier Energy,HK,HK-514163,Materials,Inactive,0.847,2024-12-19
PRV0000260,ProviderB,Falcon Industries,CA,CA-676321,Real Estate,Active,0.862,2025-02-09
PRV0000261,ProviderC,Union Energy,JP,JP-114023,Real Estate,Unknown,1.031,2024-12-25
PRV0000262,ProviderB,Summit Investments,AU,,Financials,Active,0.975,2025-02-14
PRV0000263,ProviderC,Cedar Partners ,GB,GB-833782,Technology,Active,0.823,2024-03-24
PRV0000264,ProviderB,Oakwell Energy,DE,DE-714877,Healthcare,Unknown,1.106,2024-01-17
PRV0000265,ProviderB,Riverstone Investments,IE,IE-364803,Real Estate,Active,0.699,2024-02-06
PRV0000266,ProviderA,Northbridge Finance,GB,GB-700510,Financials,Active,0.666,2024-03-19
PRV0000267,ProviderC,Oakwell Industries,NG,NG-366484,Consumer Goods,Active,0.725,2024-10-31
PRV0000268,ProviderC,Northbridge Industries,GB,GB-104090,Telecommunications,Active,1.5,2024-02-21
PRV0000269,ProviderB,Westbridge Group,AE,AE-279413,Industrials,Inactive,1.023,2024-11-28
PRV0000270,ProviderA,FRONTIER INVESTMENTS,HK,HK-690128,Telecommunications,Dissolved,1.039,2024-12-14
PRV0000271,ProviderC,Union Group,NL,NL-732580,Energy,Dissolved,0.878,2024-10-20
PRV0000272,ProviderB,Silvergate Corp,CA,CA-357732,Financials,Active,0.565,2024-10-13
PRV0000273,ProviderC,Silvergate Capital,US,US-501418,Energy,Merged,0.702,2025-01-12
PRV0000274,ProviderC,Sterling Energy,LU,LU-927663,Utilities,Unknown,1.139,2024-08-12
PRV0000275,ProviderB,,BR,BR-326807,Healthcare,Active,0.795,2024-09-25
PRV0000276,ProviderC,Meridian Holdings,IE,IE-705464,Technology,Active,0.556,2024-05-20
PRV0000277,ProviderC,Lagos Continental Technologies,XX,LU-193834,Telecommunications,Active,1.5,2024-05-22
