entity_id,kyc_status,risk_rating,sanctions_flag,pep_flag,counterparty_type,last_review_date,next_review_due_date,source_system
ENT004685,Unknown,Low,,True,Unknown,2022-07-25,2025-05-06,ProviderA
ENT003764,Rejected,Critical,N,Y,Fund,2020-07-11,2027-07-02,KYC Platform
ENT000515,Rejected,Medium,True,False,Broker,2022-08-12,2021-03-08,Manual Upload
ENT004751,Pending,Medium,Y,Y,Issuer,2022-07-06,2027-06-06,KYC Platform
ENT000847,Rejected,Low,False,True,Fund,2021-01-30,2026-04-28,Manual Upload
ENT003116,Unknown,Medium,True,False,Unknown,2024-08-04,2026-03-05,ProviderA
ENT003355,Pending,High,Y,True,Fund,2024-01-02,2027-03-28,ProviderA
ENT000806,Unknown,Low,N,,Broker,2024-11-13,2025-04-23,Manual Upload
ENT004169,Expired,High,N,,Unknown,2024-09-11,2020-10-13,Manual Upload
ENT000967,Approved,Medium,True,Y,Issuer,2024-03-02,2024-11-29,ProviderA
ENT002258,Expired,Medium,True,True,Broker,2023-05-15,2027-06-02,ProviderA
ENT000360,Unknown,Medium,,True,Broker,2023-08-12,2025-08-29,ProviderA
ENT004579,Approved,High,N,False,Supplier,2022-02-15,2024-05-07,ProviderA
ENT002112,Expired,Medium,,N,Unknown,2020-11-07,2024-10-08,KYC Platform
ENT000424,Rejected,High,N,True,Unknown,2019-04-12,2027-06-19,ProviderA
ENT000131,Unknown,Medium,True,N,Unknown,2023-01-27,2025-12-29,KYC Platform
ENT000024,Expired,High,Y,True,Broker,2022-04-10,2026-08-15,KYC Platform
ENT003800,Unknown,Medium,True,N,Supplier,2020-03-02,2025-03-14,Manual Upload
ENT000593,Expired,Low,N,True,Unknown,2022-02-13,2024-08-15,Manual Upload
ENT001920,Rejected,InvalidRisk,,N,Fund,2021-04-26,2026-09-22,KYC Platform
ENT004695,Unknown,High,,True,Client,2023-08-12,2021-10-06,Manual Upload
ENT000637,Approved,Low,N,,Broker,2024-03-05,2024-04-19,Manual Upload
ENT003771,Expired,Low,N,N,Fund,2023-03-24,2024-09-08,Manual Upload
ENT004089,Approved,Low,True,False,Supplier,2021-06-16,2027-12-19,Manual Upload
ENT002344,Expired,High,True,True,Fund,2023-03-27,2025-03-29,KYC Platform
ENT002054,Expired,Low,False,N,Fund,2024-02-27,2026-09-28,KYC Platform
ENT002188,Approved,Medium,False,False,Unknown,2021-09-20,2026-06-01,ProviderA
ENT003815,Unknown,Medium,True,Y,Unknown,2022-01-29,2027-09-30,Manual Upload
ENT000891,Pending,High,N,False,Client,2021-10-21,2021-08-27,KYC Platform
ENT004799,Approved,Medium,False,True,Supplier,2022-06-06,2025-09-23,ProviderA
ENT001035,Expired,Low,True,N,Client,2022-07-17,2025-11-12,ProviderA
ENT001322,Unknown,Medium,,True,Fund,2022-06-27,2025-11-19,KYC Platform
ENT003198,Expired,Low,True,,Unknown,2023-03-07,2025-12-28,KYC Platform
ENT003617,Rejected,High,False,,Supplier,2022-06-29,2027-12-11,Manual Upload
ENT003798,Unknown,Medium,True,,Broker,2024-03-23,2026-08-10,ProviderA
ENT003233,Expired,High,Y,False,Client,2024-02-07,2025-06-18,KYC Platform
ENT000121,Expired,Low,Y,N,Broker,2022-03-11,2025-12-11,KYC Platform
ENT000504,Approved,Medium,Y,,Client,2023-05-12,2024-12-13,ProviderA
ENT002817,Rejected,Medium,N,False,Client,2024-12-21,2025-12-21,ProviderA
ENT004498,Unknown,High,N,Y,Broker,2023-08-05,2027-12-11,Manual Upload
ENT001158,Rejected,Low,N,False,Issuer,2022-04-29,2026-12-31,Manual Upload
ENT004277,Rejected,Low,,Y,Issuer,2021-01-29,2027-02-03,ProviderA
ENT001873,Unknown,Low,Y,True,Broker,2020-08-26,2024-04-24,KYC Platform
ENT001225,Expired,Medium,False,False,Client,2022-08-22,2022-06-04,ProviderA
ENT002217,Pending,Medium,,Y,Supplier,2021-10-26,2022-04-07,KYC Platform
ENT001525,Approved,Low,N,Y,Fund,2024-07-14,2020-11-19,ProviderA
ENT003023,Rejected,Medium,False,Y,Client,2022-07-27,2026-10-31,KYC Platform
ENT000399,Pending,Low,N,Y,Fund,2022-07-15,2024-12-04,ProviderA
ENT002554,Pending,InvalidRisk,False,False,Client,2022-10-22,2026-07-31,KYC Platform
ENT003306,Expired,Medium,True,,Supplier,2021-04-12,2027-02-21,KYC Platform
ENT000232,Pending,Low,Y,True,Broker,2022-01-01,2025-10-26,Manual Upload
ENT003495,Approved,Low,False,Y,Issuer,2021-10-27,2024-04-18,KYC Platform
ENT004275,Unknown,Medium,False,Y,Supplier,2022-02-21,2027-01-31,Manual Upload
ENT002004,Expired,Medium,True,N,Broker,2024-12-04,2025-03-11,KYC Platform
ENT001916,Pending,Medium,Y,True,Client,2021-04-11,2024-06-28,ProviderA
ENT_KYC_ORPHAN_27,Unknown,High,,False,Fund,2019-10-28,2027-12-14,ProviderA
ENT003206,Expired,Low,Y,Y,Issuer,2024-04-23,2025-02-20,Manual Upload
ENT002416,Pending,Medium,False,True,Broker,2023-02-05,2027-01-19,KYC Platform
ENT001319,Unknown,High,N,,Fund,2020-09-25,2027-08-21,ProviderA
ENT004036,Rejected,Low,False,False,Fund,2022-12-04,2027-01-16,KYC Platform
ENT000696,Expired,Low,Y,N,Supplier,2023-03-16,2025-06-25,Manual Upload
ENT001700,Rejected,Low,Y,True,Supplier,2022-10-20,2027-07-21,KYC Platform
ENT000597,Expired,Medium,Y,False,Supplier,2024-03-19,2025-08-06,ProviderA
ENT004078,Rejected,Medium,True,False,Unknown,2021-07-02,2026-03-16,KYC Platform
ENT004984,Unknown,Medium,False,Y,Issuer,2021-03-28,2024-10-12,KYC Platform
ENT003888,Expired,Medium,Y,,Issuer,2020-02-10,2025-12-06,ProviderA
ENT002753,Unknown,High,False,Y,Broker,2022-04-14,2025-05-23,KYC Platform
ENT003778,Unknown,Medium,,False,Broker,2023-02-18,2027-09-14,KYC Platform
ENT003106,Expired,Low,Y,False,Supplier,2022-06-26,2026-10-21,Manual Upload
ENT004080,Unknown,Medium,N,False,Fund,2021-06-01,2021-03-05,KYC Platform
ENT003893,Unknown,InvalidRisk,False,N,Issuer,2020-08-17,2023-12-30,KYC Platform
ENT002563,Pending,Critical,,True,Supplier,2022-08-11,2025-08-23,KYC Platform
ENT000350,Approved,Medium,N,True,Issuer,2020-10-03,2025-04-10,ProviderA
ENT003359,Approved,Medium,N,,Unknown,2023-02-18,2025-10-29,ProviderA
ENT001636,Expired,Low,,Y,Issuer,2021-12-11,2025-11-07,ProviderA
ENT004556,Rejected,Medium,False,True,Broker,2024-10-03,2027-09-07,ProviderA
ENT004462,Unknown,Medium,False,N,Unknown,2023-11-03,2026-09-21,Manual Upload
ENT002755,Rejected,Low,True,N,Client,2023-03-16,2026-06-08,ProviderA
ENT003121,Approved,High,,True,Fund,2023-06-07,2026-03-24,Manual Upload
ENT000561,Expired,Medium,Y,Y,Client,2023-03-22,2024-09-06,Manual Upload
ENT003982,Pending,Medium,Y,True,Client,2024-08-15,2025-09-15,KYC Platform
ENT002520,Expired,Low,True,False,Supplier,2020-12-04,2025-07-12,KYC Platform
ENT000643,Unknown,Low,True,,Unknown,2024-04-02,2024-06-28,Manual Upload
ENT000495,Expired,Low,Y,Y,Supplier,2020-07-29,2027-01-26,KYC Platform
ENT002976,Rejected,Medium,,N,Broker,2024-02-27,2024-01-06,Manual Upload
ENT004838,Approved,High,True,Y,Client,2023-04-07,2026-06-10,Manual Upload
ENT001245,Expired,Medium,False,True,Fund,2024-11-11,2025-01-17,ProviderA
ENT001440,Rejected,Medium,N,True,Broker,2023-10-20,2027-09-08,ProviderA
ENT001267,Pending,Low,N,Y,Supplier,2023-02-14,2025-11-05,KYC Platform
ENT003811,Unknown,Medium,True,,Broker,2022-07-26,2024-07-24,KYC Platform
ENT004117,Rejected,High,False,Y,Unknown,2023-10-22,2024-04-25,Manual Upload
ENT002196,Rejected,High,Y,,Supplier,2023-11-10,2026-07-07,KYC Platform
ENT001421,Approved,Critical,True,Y,Broker,2024-08-28,2024-08-15,Manual Upload
ENT000297,Pending,Critical,Y,False,Issuer,2022-03-28,2024-01-17,Manual Upload
ENT003534,Expired,Low,False,Y,Client,2020-09-09,2020-12-20,ProviderA
ENT001562,Approved,Low,False,True,Fund,2023-06-27,2024-04-15,Manual Upload
ENT004403,Pending,Low,N,True,Supplier,2024-07-02,2027-11-01,KYC Platform
ENT002067,Expired,Low,,,Unknown,2022-01-06,2027-09-30,KYC Platform
ENT001366,Rejected,Critical,Y,,Client,2021-05-26,2027-06-11,KYC Platform
ENT004870,Rejected,High,Y,True,Client,2024-09-23,2026-07-04,ProviderA
ENT004890,Unknown,Medium,True,False,Fund,2024-05-17,2027-08-08,ProviderA
ENT002247,Expired,Low,Y,Y,Issuer,2024-02-06,2024-07-28,KYC Platform
ENT002481,Expired,Medium,,True,Issuer,2021-01-22,2026-08-15,Manual Upload
ENT001512,Approved,Low,False,N,Issuer,2022-03-24,2025-04-08,Manual Upload
ENT000860,Rejected,High,N,False,Broker,2017-02-16,2026-03-22,KYC Platform
ENT001415,Unknown,Low,Y,N,Broker,2024-04-24,2025-02-10,Manual Upload
ENT000075,Unknown,Low,Y,N,Fund,2022-09-27,2025-02-24,Manual Upload
ENT004821,Rejected,Medium,False,N,Supplier,2021-10-11,2024-02-25,KYC Platform
ENT000105,Rejected,High,False,,Client,2018-08-15,2027-08-17,ProviderA
ENT003555,Pending,Low,False,True,Broker,2023-08-18,2027-11-24,KYC Platform
ENT000293,Expired,Low,True,,Supplier,2020-11-02,2026-05-29,Manual Upload
ENT001333,Pending,Critical,N,Y,Unknown,2021-05-15,2024-02-16,ProviderA
ENT003618,Expired,High,True,,Supplier,2022-11-20,2026-09-28,Manual Upload
ENT002916,Rejected,InvalidRisk,False,,Broker,2020-06-19,2027-03-29,KYC Platform
ENT000665,Approved,Critical,,N,Supplier,2024-06-17,2026-10-25,ProviderA
ENT003894,Expired,Low,,True,Issuer,2020-05-26,2027-01-17,Manual Upload
ENT002146,Approved,Medium,True,True,Broker,2020-10-08,2026-02-03,Manual Upload
ENT001667,Expired,InvalidRisk,False,N,Issuer,2024-10-18,2026-12-24,KYC Platform
ENT003645,Pending,Low,N,Y,Unknown,2021-03-08,2027-10-01,KYC Platform
ENT001228,Pending,Medium,,False,Fund,2023-10-31,2026-07-16,ProviderA
ENT003087,Pending,High,True,,Issuer,2021-05-21,2026-07-28,Manual Upload
ENT000512,Approved,Medium,,,Issuer,2021-11-21,2025-07-07,Manual Upload
ENT000978,Expired,Low,Y,,Unknown,2023-12-11,2024-08-15,ProviderA
ENT001851,Expired,Low,True,,Unknown,2022-09-16,2024-02-08,ProviderA
ENT002821,Approved,Low,N,False,Issuer,2022-04-20,2027-02-23,Manual Upload
ENT002531,Pending,Critical,True,Y,Fund,2017-01-10,2024-12-03,ProviderA
ENT004510,Pending,Low,True,Y,Fund,2022-07-05,2027-04-12,KYC Platform
ENT004687,Unknown,Medium,Y,,Unknown,2021-06-30,2025-06-08,ProviderA
ENT002409,Approved,Low,True,N,Broker,2023-01-03,2026-05-14,ProviderA
ENT000011,Pending,InvalidRisk,N,N,Broker,2020-08-10,2025-05-29,Manual Upload
ENT001695,Approved,Medium,N,N,Client,2022-05-15,2024-06-09,KYC Platform
ENT004517,Expired,High,False,Y,Supplier,2021-05-01,2025-04-12,Manual Upload
ENT001119,Unknown,Low,True,True,Broker,2024-02-17,2025-02-28,KYC Platform
ENT000826,Pending,High,False,N,Issuer,2017-08-31,2026-08-08,KYC Platform
ENT003160,Rejected,Medium,,Y,Unknown,2023-10-19,2020-12-25,ProviderA
ENT002507,Expired,Low,True,Y,Unknown,2021-03-18,2024-06-16,KYC Platform
ENT001510,Pending,High,True,False,Supplier,2020-12-11,2026-05-29,ProviderA
ENT_KYC_ORPHAN_40,Expired,Critical,Y,,Client,2024-04-26,2026-03-19,KYC Platform
ENT004758,Expired,Low,True,False,Broker,2020-09-21,2026-08-16,Manual Upload
ENT000556,Expired,Medium,False,False,Supplier,2022-04-01,2023-02-03,ProviderA
ENT000679,Expired,Low,,True,Supplier,2024-04-13,2026-09-06,ProviderA
ENT003728,Pending,Low,,N,Fund,2022-05-22,2026-06-16,KYC Platform
ENT000910,Rejected,Low,N,Y,Supplier,2020-07-19,2027-06-05,ProviderA
ENT003704,Rejected,Medium,False,True,Issuer,2022-07-15,2025-05-22,KYC Platform
ENT004137,Pending,Medium,,True,Broker,2024-02-13,2026-01-15,Manual Upload
ENT001609,Expired,Low,N,False,Supplier,2024-03-27,2024-02-05,Manual Upload
ENT004346,Rejected,Medium,False,Y,Issuer,2021-08-23,2024-01-01,KYC Platform
ENT001911,Expired,Low,,Y,Broker,2021-06-03,2024-10-29,ProviderA
ENT004338,Expired,Medium,Y,N,Client,2021-08-09,2025-01-18,ProviderA
ENT000890,Unknown,Low,Y,False,Supplier,2020-04-23,2024-10-24,ProviderA
ENT000646,Pending,Low,,False,Client,2022-10-20,2027-01-24,Manual Upload
ENT003313,Expired,InvalidRisk,False,Y,Broker,2021-06-17,2027-05-07,ProviderA
ENT004587,Rejected,Medium,True,False,Unknown,2022-07-29,2025-07-09,KYC Platform
ENT001237,Rejected,Medium,True,False,Issuer,2021-03-31,2027-08-09,Manual Upload
ENT000015,Unknown,Low,False,Y,Supplier,2023-12-06,2021-03-26,Manual Upload
ENT003250,Rejected,Low,Y,True,Client,2021-10-30,2026-06-29,Manual Upload
ENT004046,Unknown,Low,False,True,Broker,2024-01-24,2025-09-23,ProviderA
ENT003902,Pending,High,Y,True,Supplier,2020-06-07,2027-10-31,KYC Platform
ENT000756,Rejected,High,,Y,Client,2023-07-18,2027-10-09,ProviderA
ENT004226,Approved,High,False,,Unknown,2020-06-05,2024-06-20,Manual Upload
ENT001418,Pending,High,True,False,Supplier,2024-03-15,2027-11-11,ProviderA
ENT000635,Expired,Medium,True,,Client,2021-12-07,2027-07-22,KYC Platform
ENT004668,Pending,Low,False,True,Client,2021-04-02,2026-01-28,Manual Upload
ENT003705,Pending,Medium,False,,Issuer,2021-05-04,2027-09-22,Manual Upload
ENT004442,Unknown,Critical,True,,Fund,2019-08-03,2025-05-26,ProviderA
ENT002776,Expired,Medium,True,N,Issuer,2024-07-22,2021-02-02,KYC Platform
ENT003659,Pending,Medium,False,False,Supplier,2020-02-06,2024-03-30,ProviderA
ENT001891,Rejected,Critical,False,N,Client,2017-11-09,2024-10-18,Manual Upload
ENT004185,Approved,Medium,False,Y,Supplier,2024-03-13,2026-02-10,KYC Platform
ENT004193,Unknown,Low,Y,True,Unknown,2022-09-26,2026-09-24,Manual Upload
ENT002306,Approved,Medium,True,N,Unknown,2023-08-24,2026-05-28,KYC Platform
ENT000130,Approved,Medium,N,True,Client,2023-05-31,2026-02-19,ProviderA
ENT002584,Approved,Low,N,Y,Client,2020-01-26,2026-01-28,KYC Platform
ENT002290,Expired,InvalidRisk,N,True,Issuer,2023-10-07,2025-01-18,ProviderA
ENT003418,Unknown,High,Y,False,Supplier,2020-05-24,2027-05-26,KYC Platform
ENT000137,Expired,Low,False,False,Broker,2021-12-31,2027-01-10,KYC Platform
ENT004361,Unknown,High,,False,Broker,2020-06-24,2026-10-13,Manual Upload
ENT000093,Expired,Low,,N,Broker,2022-10-22,2024-08-04,KYC Platform
ENT004333,Unknown,High,N,False,Issuer,2020-11-20,2024-11-30,Manual Upload
ENT002712,Pending,Medium,Y,Y,Broker,2024-12-28,2025-07-01,ProviderA
ENT000816,Unknown,Medium,True,True,Supplier,2022-11-23,2023-06-08,Manual Upload
ENT003158,Expired,Medium,,N,Supplier,2024-10-17,2024-09-07,KYC Platform
ENT000325,Rejected,Medium,N,N,Unknown,2022-07-18,2027-11-09,KYC Platform
ENT001559,Expired,Medium,,False,Issuer,2022-06-18,2025-12-12,KYC Platform
ENT000202,Rejected,Medium,N,Y,Issuer,2022-10-29,2024-07-23,Manual Upload
ENT003237,Pending,Low,,False,Unknown,2024-10-20,2025-07-03,KYC Platform
ENT001213,Rejected,Medium,False,Y,Fund,2022-06-17,2026-01-15,Manual Upload
ENT004102,Unknown,Critical,False,,Client,2020-06-09,2024-06-29,ProviderA
ENT004557,Expired,High,True,True,Broker,2021-01-12,2027-03-09,Manual Upload
ENT001036,Approved,Medium,,True,Supplier,2022-07-10,2027-08-11,ProviderA
ENT000380,Approved,High,,N,Supplier,2023-11-25,2025-05-15,ProviderA
ENT002999,Expired,Low,N,Y,Issuer,2021-10-16,2027-07-10,ProviderA
ENT004222,Unknown,InvalidRisk,N,,Unknown,2022-08-05,2026-01-19,KYC Platform
ENT001527,Pending,Medium,N,True,Client,2020-11-04,2025-11-10,Manual Upload
ENT000235,Pending,High,False,N,Unknown,2022-06-25,2024-01-11,Manual Upload
ENT000079,Unknown,Low,Y,False,Issuer,2024-05-13,2025-04-01,ProviderA
ENT003917,Rejected,Low,False,N,Fund,2023-08-12,2026-07-19,ProviderA
ENT004139,Rejected,High,N,True,Broker,2020-12-23,2024-10-17,KYC Platform
ENT_KYC_ORPHAN_16,Pending,Medium,False,,Broker,2022-05-17,2026-06-03,Manual Upload
ENT004203,Unknown,Low,N,N,Broker,2024-05-16,2024-09-29,ProviderA
ENT002076,Pending,High,N,True,Supplier,2023-12-22,2024-02-23,Manual Upload
ENT003606,Approved,Medium,True,Y,Fund,2024-01-30,2026-06-29,ProviderA
ENT003643,Approved,Low,False,Y,Issuer,2021-04-09,2027-11-09,ProviderA
ENT000498,Unknown,Medium,,False,Unknown,2022-02-10,2025-10-22,KYC Platform
ENT001389,Approved,Low,,False,Fund,2021-03-11,2026-07-08,KYC Platform
ENT004960,Unknown,Low,N,,Issuer,2021-12-26,2026-09-04,KYC Platform
ENT003841,Expired,Medium,,Y,Fund,2021-04-24,2025-11-06,Manual Upload
ENT002212,Unknown,Critical,,,Unknown,2024-04-15,2021-10-07,KYC Platform
ENT001351,Unknown,Medium,False,N,Issuer,2023-01-22,2027-01-14,KYC Platform
ENT002420,Unknown,Low,,False,Broker,2020-01-05,2025-03-24,KYC Platform
ENT003180,Pending,Medium,,,Broker,2020-04-11,2025-01-19,ProviderA
ENT002640,Approved,Medium,N,Y,Broker,2022-04-26,2025-07-04,ProviderA
ENT003706,Rejected,Low,,,Fund,2024-02-26,2026-11-04,Manual Upload
ENT_KYC_ORPHAN_69,Approved,Medium,Y,True,Supplier,2023-05-28,2027-11-20,ProviderA
ENT003435,Expired,Low,N,False,Issuer,2020-10-09,2021-08-17,Manual Upload
ENT001576,Rejected,Low,False,,Broker,2024-06-15,2027-03-07,ProviderA
ENT002971,Rejected,Medium,N,False,Fund,2021-11-09,2025-01-18,ProviderA
ENT001749,Approved,InvalidRisk,,True,Issuer,2024-01-19,2025-03-07,KYC Platform
ENT000163,Expired,Critical,N,False,Client,2017-05-29,2026-04-11,Manual Upload
ENT004436,Expired,Low,Y,True,Issuer,2024-09-14,2025-07-02,Manual Upload
ENT004434,Pending,High,True,N,Fund,2024-04-06,2022-10-17,ProviderA
ENT003062,Expired,Medium,Y,Y,Issuer,2023-11-10,2025-02-23,Manual Upload
ENT002900,Expired,Critical,N,True,Issuer,2023-05-03,2025-04-18,Manual Upload
ENT004041,Expired,Low,N,N,Issuer,2020-05-23,2027-10-19,ProviderA
ENT003101,Approved,High,,False,Client,2024-11-02,2021-04-07,Manual Upload
ENT000030,Pending,Low,,False,Unknown,2022-06-12,2026-06-15,ProviderA
ENT001168,Unknown,Medium,Y,,Client,2022-01-23,2026-06-29,Manual Upload
ENT003586,Pending,Critical,True,N,Fund,2024-04-06,2025-09-10,KYC Platform
ENT002845,Approved,High,,N,Issuer,2021-11-16,2024-09-18,KYC Platform
ENT003973,Unknown,Critical,N,True,Fund,2017-10-03,2026-01-16,KYC Platform
ENT001549,Expired,High,True,False,Issuer,2022-06-06,2023-06-02,ProviderA
ENT000907,Rejected,Low,N,False,Client,2023-09-24,2026-07-22,ProviderA
ENT001952,Rejected,Medium,True,N,Client,2020-03-31,2024-05-22,KYC Platform
ENT000791,Expired,Low,,False,Issuer,2020-03-08,2024-09-03,KYC Platform
ENT004584,Expired,Medium,False,False,Broker,2022-12-13,2027-11-04,Manual Upload
ENT003415,Expired,Critical,Y,False,Fund,2017-09-23,2025-10-12,Manual Upload
ENT004468,Rejected,Critical,False,,Fund,2024-02-19,2026-06-22,ProviderA
ENT001376,Approved,Medium,True,Y,Client,2022-06-28,2024-07-19,ProviderA
ENT000242,Unknown,Medium,,Y,Issuer,2021-12-17,2026-09-30,Manual Upload
ENT000908,Unknown,High,Y,Y,Client,2024-03-24,2024-02-24,Manual Upload
ENT003060,Unknown,Low,N,,Unknown,2021-03-06,2027-11-23,KYC Platform
ENT004291,Expired,High,True,False,Broker,2018-03-09,2021-10-29,KYC Platform
ENT001514,Pending,Medium,N,N,Supplier,2023-04-03,2026-09-03,ProviderA
ENT000960,Approved,Low,False,True,Supplier,2022-03-28,2025-03-17,ProviderA
ENT000521,Expired,Low,Y,Y,Unknown,2020-03-31,2021-09-20,ProviderA
ENT000127,Expired,Medium,True,True,Supplier,2020-01-10,2027-01-05,ProviderA
ENT003634,Pending,Low,,False,Supplier,2022-06-19,2026-06-02,ProviderA
ENT004525,Rejected,Medium,True,True,Fund,2021-06-03,2026-12-13,KYC Platform
ENT002158,Expired,Low,False,True,Supplier,2021-10-13,2024-10-11,ProviderA
ENT004375,Approved,Low,False,False,Client,2022-09-01,2026-02-12,ProviderA
ENT000144,Expired,Low,True,False,Supplier,2023-04-09,2022-10-26,ProviderA
ENT000970,Approved,High,False,True,Supplier,2023-08-22,2024-12-01,KYC Platform
ENT002102,Unknown,Low,Y,False,Unknown,2020-08-22,2026-02-16,ProviderA
ENT002537,Approved,InvalidRisk,Y,True,Unknown,2020-03-31,2020-05-21,KYC Platform
ENT004566,Expired,High,,Y,Supplier,2020-01-03,2024-04-13,ProviderA
ENT003323,Expired,InvalidRisk,N,,Fund,2022-04-27,2024-02-19,KYC Platform
ENT003810,Expired,Low,Y,Y,Supplier,2024-06-29,2024-06-23,Manual Upload
ENT002716,Unknown,Medium,Y,N,Unknown,2024-11-08,2025-11-24,KYC Platform
ENT001179,Unknown,Medium,,Y,Fund,2020-02-26,2027-08-07,Manual Upload
