entity_id,legal_name,normalized_name,country_code,registration_number,entity_type,sector,industry,status,incorporation_date,last_verified_date,source_system,created_at,updated_at
ENT000030,Redwood Industries,REDWOOD INDUSTRIES,DE,DE-648801,Private Company,Financials,Logistics,Active,1983-03-30,2022-01-28,Issuer Feed,2021-08-30,2024-04-11
ENT000031,Granite Investments,GRANITE INVESTMENTS,GB,,Public Company,Financials,Mining,Active,1982-08-14,2022-01-23,ProviderB,2021-08-07,2023-02-25
ENT000032,Summit Finance,SUMMIT FINANCE,CA,CA-340675,Public Company,Technology,Software,Active,2007-07-11,2021-02-06,Internal Master,2022-11-05,2023-05-04
ENT000033,Crestline Group,CRESTLINE,JP,JP-675563,Private Company,Real Estate,Oil & Gas,Active,1993-04-23,2015-06-16,ProviderB,2022-05-27,2024-03-26
ENT000034,Westbridge Capital,WESTBRIDGE CAPITAL,NL,NL-612066,Public Company,Industrials,Telecom Services,Active,2010-12-27,2024-07-31,Internal Master,2021-01-12,2025-02-24
ENT000035,Korefield Energy,KOREFIELD ENERGY,AU,AU-551220,Private Company,Industrials,Pharmaceuticals,Active,1986-11-10,2022-03-22,Internal Master,2020-12-20,2023-05-12
ENT000036,Frontier PLC,FRONTIER,ZA,ZA-107378,Financial Institution,Healthcare,Logistics,Unknown,1985-04-06,2022-08-17,ProviderA,2022-12-03,2023-03-03
ENT000037,Lagos Continental Ltd,LAGOS CONTINENTAL,ZA,ZA-376570,Private Company,Technology,Logistics,Active,2011-06-17,2018-12-18,Issuer Feed,2024-05-09,2023-10-03
ENT000038,Greenfield Energy,GREENFIELD ENERGY,CH,CH-437008,Government Entity,Utilities,Software,Active,1989-02-06,2024-10-26,Issuer Feed,2021-01-11,2023-03-01
ENT000039,Helios Holdings,HELIOS,LU,LU-850463,Public Company,Financials,Mining,Merged,1982-07-23,2015-08-30,KYC Platform,2022-05-29,2024-12-08
ENT000040,Oakwell Industries,OAKWELL INDUSTRIES,AE,AE-843749,Company?,Telecommunications,Pharmaceuticals,Active,2014-09-14,2021-10-20,ProviderA,2021-05-18,2024-09-13
ENT000041,Granite Energy,GRANITE ENERGY,CH,CH-886374,UnknownType,Materials,Telecom Services,Active,2011-01-13,2022-06-05,Issuer Feed,2021-02-13,2023-04-03
ENT000042,BluePeak Corporation,BLUEPEAK,,HK-516705,Private Company,Real Estate,Oil & Gas,Active,2020-11-24,2023-11-24,Manual Upload,2023-07-29,2023-03-21
ENT000043,Falcon Industries,FALCON INDUSTRIES,SG,SG-394229,Fund,Healthcare,Mining,Active,2006-05-10,2021-02-04,KYC Platform,2023-04-03,2024-03-02
ENT000044,Atlas Group,ATLAS,JP,JP-549334,Financial Institution,Real Estate,Mining,Active,2009-06-30,2023-05-26,Issuer Feed,2022-02-26,2023-11-16
ENT000045,Frontier Corporation,FRONTIER,NL,NL-812522,Private Company,Technology,Banking,Active,2014-11-05,2024-01-29,Manual Upload,2022-03-12,2024-07-01
ENT000046,Crestline Corporation,CRESTLINE,JP,JP-659418,Private Company,Technology,Telecom Services,Inactive,2007-09-07,2022-05-21,Issuer Feed,2021-11-29,2025-01-01
ENT000047,Silvergate Capital,SILVERGATE CAPITAL,ZA,ZA-641110,Private Company,Healthcare,Retail,Merged,1994-01-19,2023-02-27,Manual Upload,2024-06-24,2023-09-21
ENT000048,Westbridge Group,WESTBRIDGE,IE,IE-490788,Public Company,Financials,Oil & Gas,Active,2019-02-23,2023-11-15,ProviderA,2024-04-02,2024-09-13
ENT000049,Sterling Industries,STERLING INDUSTRIES,CA,CA-726827,Public Company,Technology,Power Generation,Active,2010-12-09,2023-05-20,ProviderA,2020-05-02,2023-09-20
ENT000050,Falcon Ltd,FALCON,IE,IE-880368,Public Company,Real Estate,Power Generation,Active,2018-08-07,2021-02-05,ProviderA,2023-09-01,2023-07-03
ENT000051,PrimeEdge PLC,PRIMEEDGE,CA,CA-701170,Financial Institution,Utilities,Private Equity,Active,2004-07-07,2023-05-06,ProviderA,2021-07-04,2025-02-04
ENT000052,PrimeEdge Limited,PRIMEEDGE,CH,CH-462991,Fund,Healthcare,Telecom Services,Active,1999-10-18,2021-12-04,KYC Platform,2022-12-08,2023-07-18
ENT000053,Frontier Corporation,FRONTIER,AU,AU-855956,Private Company,Healthcare,Power Generation,Active,2017-02-05,2023-12-18,Manual Upload,2024-03-26,2023-04-24
ENT000054,Frontier Industries,FRONTIER INDUSTRIES,AE,AE-948296,Private Company,Healthcare,Power Generation,Active,2006-11-28,2022-01-17,ProviderA,2021-11-23,2024-04-12
ENT000055,Lagos Continental Industries,LAGOS CONTINENTAL INDUSTRIES,AE,AE-816916,Fund,Energy,Power Generation,Unknown,2014-02-19,2024-11-30,Issuer Feed,2022-01-27,2024-04-14
ENT000056,Nova Investments,NOVA INVESTMENTS,CA,CA-889243,Financial Institution,Energy,Retail,Active,2019-02-26,2021-06-21,Internal Master,2022-10-25,2024-01-19
ENT000057,Meridian Energy,MERIDIAN ENERGY,BR,BR-338947,Private Company,Materials,Power Generation,Active,1992-07-02,2024-07-25,Manual Upload,2021-05-26,2023-03-10
ENT000058,Albion Technologies,ALBION TECHNOLOGIES,CH,CH-478978,Private Company,Telecommunications,Banking,Active,1988-06-28,2021-02-19,KYC Platform,2021-03-08,2023-04-03
ENT000059,Northbridge Ltd,NORTHBRIDGE,NL,NL-324409,Financial Institution,Telecommunications,Telecom Services,Active,1986-07-29,2023-09-25,ProviderB,2022-09-20,2024-08-20
ENT000060,Nova Ltd,NOVA,US,US-429220,Financial Institution,Technology,Software,Active,2006-05-24,2022-05-31,ProviderB,2020-12-07,2023-05-06
ENT000061,Crestline Industries,CRESTLINE INDUSTRIES,GB,GB-760142,Financial Institution,Real Estate,Logistics,Active,2015-07-15,2021-10-13,Manual Upload,2022-12-27,2023-08-06
ENT000062,Horizon Energy,HORIZON ENERGY,US,,Private Company,Energy,Power Generation,Active,2022-12-13,2021-11-15,ProviderB,2021-02-13,2024-09-25
ENT000063,Silvergate Technologies,SILVERGATE TECHNOLOGIES,JP,JP-102871,Public Company,Materials,Oil & Gas,Inactive,1981-06-10,2021-02-26,Internal Master,2020-06-01,2023-09-24
ENT000064,Korefield Investments,KOREFIELD INVESTMENTS,JP,JP-779775,Private Company,Consumer Goods,Power Generation,Unknown,1980-01-27,2021-07-14,KYC Platform,2020-06-15,2023-09-30
ENT000065,Oakwell Partners,OAKWELL PARTNERS,GB,GB-272873,Private Company,Healthcare,Software,Active,1991-11-10,2022-07-27,KYC Platform,2021-03-01,2024-12-23
ENT000066,Oakwell Technologies,OAKWELL TECHNOLOGIES,US,US-267275,Financial Institution,Utilities,Power Generation,Active,2000-12-08,2021-08-18,Issuer Feed,2020-06-16,2024-09-22
ENT000067,Atlas Technologies,ATLAS TECHNOLOGIES,AU,AU-589254,Public Company,Industrials,Power Generation,Active,1983-06-18,2024-11-15,ProviderB,2021-05-22,2024-07-12
ENT000068,Frontier Group,FRONTIER,NL,NL-316940,Fund,Technology,Banking,Active,1983-04-25,2024-04-22,ProviderA,2021-11-17,2023-05-30
ENT000069,Falcon Limited,FALCON,CA,CA-966674,Financial Institution,Telecommunications,Software,Unknown,2003-03-27,2022-11-22,Internal Master,2021-02-07,2023-08-13
ENT000070,Helios Energy,HELIOS ENERGY,IE,,Financial Institution,Utilities,Private Equity,Active,2010-04-18,2021-05-19,Manual Upload,2022-05-27,2024-04-17
ENT000071,Union Holdings,UNION,FR,FR-236479,Fund,Telecommunications,Pharmaceuticals,Active,2018-12-28,2024-12-11,ProviderA,2021-09-20,2024-10-23
ENT000072,Nova Capital,NOVA CAPITAL,DE,DE-784621,Financial Institution,Industrials,Logistics,Unknown,2001-03-30,2023-11-26,ProviderB,2020-05-11,2024-02-03
ENT000073,Union Corporation,UNION,SG,SG-357919,Public Company,Healthcare,Banking,Active,2008-05-27,2021-09-25,Internal Master,2021-07-03,2024-08-09
ENT000074,Northbridge Holdings,NORTHBRIDGE,HK,,Private Company,Industrials,Telecom Services,Active,2017-11-03,2021-03-20,ProviderA,2020-01-20,2023-09-15
ENT000075,PrimeEdge Limited,PRIMEEDGE,BR,BR-713333,Public Company,Real Estate,Banking,Active,1999-01-01,2023-06-25,Internal Master,2023-04-15,2023-10-16
ENT000076,Silvergate Holdings,SILVERGATE,DE,DE-270148,Financial Institution,Healthcare,Software,Active,1989-03-06,2021-03-01,ProviderB,2021-12-28,2024-04-25
ENT000077,Westbridge Group,WESTBRIDGE,CH,,Financial Institution,Materials,Logistics,Active,2016-04-25,2023-06-17,Manual Upload,2022-09-10,2024-03-23
ENT000078,Crestline Industries,CRESTLINE INDUSTRIES,JP,JP-583186,Public Company,Energy,Power Generation,Unknown,1980-02-06,2016-03-23,ProviderA,2020-08-21,2023-04-09
ENT000079,,,LU,LU-185138,Public Company,Energy,Logistics,Active,2027-08-18,2024-07-10,Manual Upload,2021-12-05,2023-11-03
ENT000080,Albion Investments,ALBION INVESTMENTS,BR,BR-787814,Private Company,Healthcare,Mining,Active,1985-09-27,2022-07-12,KYC Platform,2023-08-21,2024-11-06
ENT000081,Union Industries,UNION INDUSTRIES,NG,NG-871659,Private Company,Financials,Retail,Active,2008-04-23,2022-10-17,Manual Upload,2020-11-24,2024-02-25
ENT000082,Crestline Capital,CRESTLINE CAPITAL,FR,FR-952324,Financial Institution,Real Estate,Software,Active,1991-11-11,2023-03-09,KYC Platform,2024-06-03,2024-08-09
ENT000083,Crestline Corporation,CRESTLINE,DE,DE-179109,Private Company,Healthcare,Oil & Gas,Active,1995-02-23,2024-12-07,Manual Upload,2021-11-21,2024-10-14
ENT000084,Helios PLC,HELIOS,NG,NG-260670,Government Entity,Energy,Power Generation,Inactive,2008-09-11,2019-12-31,KYC Platform,2020-08-11,2023-08-15
ENT000085,Helios Limited,HELIOS,DE,DE-842583,Private Company,Telecommunications,Logistics,Active,1993-01-12,2023-09-05,Issuer Feed,2020-10-23,2023-07-05
ENT000086,Atlas Ltd,ATLAS,CA,CA-373896,Private Company,Materials,Telecom Services,Active,1995-12-15,2022-03-29,Internal Master,2022-01-28,2024-04-02
ENT000087,Frontier Investments,FRONTIER INVESTMENTS,NL,NL-662983,Public Company,Materials,Pharmaceuticals,Active,2001-12-17,2022-12-08,Manual Upload,2024-04-12,2024-01-14
ENT000088,Greenfield Energy,GREENFIELD ENERGY,AE,AE-413505,Financial Institution,Energy,Software,Active,1985-03-15,2021-10-12,Internal Master,2022-02-13,2024-12-12
ENT000089,Greenfield PLC,GREENFIELD,AE,AE-295822,Fund,Utilities,Retail,Active,2021-02-22,2022-07-27,ProviderA,2020-10-12,2023-05-25
ENT000090,Westbridge Technologies,WESTBRIDGE TECHNOLOGIES,FR,FR-662478,Private Company,Healthcare,Software,Inactive,2023-03-09,2024-04-16,Issuer Feed,2021-09-29,2023-11-30
ENT000091,Granite PLC,GRANITE,NG,NG-284970,Private Company,Real Estate,Mining,Active,2011-05-16,2021-05-26,ProviderA,2023-11-10,2023-02-08
ENT000092,Albion Industries,ALBION INDUSTRIES,LU,LU-222776,Financial Institution,Telecommunications,Power Generation,Dissolved,1984-10-05,2021-08-30,Internal Master,2024-06-04,2023-10-14
ENT000093,Albion Energy,ALBION ENERGY,CH,CH-577405,Government Entity,Utilities,Private Equity,Inactive,2000-10-13,2023-05-06,Manual Upload,2022-10-07,2024-04-08
ENT000094,BluePeak Capital,BLUEPEAK CAPITAL,FR,FR-274085,Government Entity,Real Estate,Software,Active,1995-08-16,2018-11-20,KYC Platform,2023-11-22,2024-09-22
ENT000095,Sterling Group,STERLING,AU,AU-273025,Fund,Real Estate,Banking,Active,1987-04-27,2024-11-25,ProviderB,2023-08-24,2024-10-28
ENT000096,Greenfield Partners,GREENFIELD PARTNERS,AU,AU-802392,Financial Institution,Energy,Banking,Inactive,2018-07-27,2023-05-08,ProviderA,2021-11-27,2023-01-01
ENT000097,Falcon Capital,FALCON CAPITAL,LU,LU-575861,Private Company,Utilities,Private Equity,Unknown,1998-04-05,2023-08-18,Issuer Feed,2020-05-03,2024-11-19
ENT000098,Granite Ltd,GRANITE,NG,NG-587847,SPV,Energy,Private Equity,Active,2008-09-17,2022-02-27,ProviderA,2023-08-13,2024-06-25
ENT000099,,,IE,IE-229070,Private Company,Materials,Telecom Services,Active,2010-05-29,2022-08-22,KYC Platform,2022-08-12,2023-06-09
ENT000100,Helios Finance,HELIOS FINANCE,LU,LU-244347,Fund,Telecommunications,Retail,Active,1994-01-26,2017-07-06,Internal Master,2022-08-25,2023-06-20
ENT000101,Summit Services,SUMMIT SERVICES,AU,AU-451663,Financial Institution,Energy,Software,Inactive,1995-05-04,2021-06-09,ProviderA,2024-03-15,2024-09-05
ENT000102,Albion Industries,ALBION INDUSTRIES,FR,FR-449589,Financial Institution,Technology,Power Generation,Unknown,2022-09-10,2022-06-26,Internal Master,2021-03-14,2024-07-01
ENT000103,,,HK,HK-506465,Private Company,Real Estate,Retail,Unknown,2016-04-12,2021-11-14,ProviderA,2020-11-20,2023-06-12
ENT000104,Frontier Finance,FRONTIER FINANCE,AE,AE-221044,Private Company,Telecommunications,Telecom Services,Active,2002-01-17,2023-05-14,ProviderB,2022-12-19,2023-12-12
ENT000105,Nova Investments,NOVA INVESTMENTS,ZA,ZA-908591,Financial Institution,Technology,Banking,Active,2003-06-23,2024-01-07,Issuer Feed,2023-05-02,2024-11-08
ENT000106,Nova Investments,NOVA INVESTMENTS,CH,CH-426420,Financial Institution,Real Estate,Retail,Inactive,1980-05-10,2024-12-02,Issuer Feed,2020-01-08,2023-01-17
ENT000107,Frontier Energy,FRONTIER ENERGY,BR,BR-834601,SPV,Utilities,Telecom Services,Active,1980-04-09,2024-07-09,KYC Platform,2022-03-31,2024-02-08
ENT000108,Redwood Holdings,REDWOOD,NG,NG-460178,Public Company,Financials,Power Generation,Dissolved,2015-06-17,2022-04-10,Manual Upload,2021-09-11,2024-11-20
ENT000109,Korefield Ltd,KOREFIELD,NL,NL-524957,Private Company,Technology,Oil & Gas,Active,2021-05-27,2024-10-03,ProviderB,2023-09-07,2023-01-04
ENT000110,Lagos Continental Services,LAGOS CONTINENTAL SERVICES,AU,AU-200899,Financial Institution,Real Estate,Banking,Merged,1987-02-19,2024-10-08,ProviderB,2023-11-09,2024-03-07
ENT000111,Riverstone Energy,RIVERSTONE ENERGY,NL,NL-709011,SPV,Healthcare,Private Equity,Active,1992-05-15,2023-01-06,KYC Platform,2020-08-16,2024-03-16
ENT000112,Greenfield PLC,GREENFIELD,FR,FR-153850,SPV,Financials,Pharmaceuticals,Active,1995-07-01,2021-10-27,ProviderA,2022-08-11,2023-09-05
ENT000113,Redwood Group,REDWOOD,GB,GB-773087,Fund,Telecommunications,Logistics,Active,2015-09-23,2024-02-11,ProviderB,2023-03-31,2024-03-01
ENT000114,PrimeEdge Partners,PRIMEEDGE PARTNERS,NL,NL-893440,Private Company,Real Estate,Telecom Services,Active,1997-12-01,2020-05-06,Manual Upload,2021-03-03,2024-07-08
ENT000115,Meridian PLC,MERIDIAN,IN,IN-425454,Private Company,Consumer Goods,Logistics,Active,1981-12-01,2022-06-12,ProviderB,2024-03-13,2023-08-12
ENT000116,Lagos Continental Corporation,LAGOS CONTINENTAL,NL,NL-898882,Government Entity,Materials,Mining,Inactive,2005-10-10,2023-02-17,Manual Upload,2024-01-04,2024-01-27
ENT000117,Northbridge Investments,NORTHBRIDGE INVESTMENTS,LU,LU-728916,Private Company,Energy,Private Equity,Active,1986-06-18,2024-06-15,Issuer Feed,2020-10-09,2024-02-28
ENT000118,Albion Investments,ALBION INVESTMENTS,CH,CH-102320,Fund,Telecommunications,Pharmaceuticals,Active,2008-05-20,2024-11-27,ProviderA,2020-01-26,2023-01-28
ENT000119,Horizon Energy,HORIZON ENERGY,NL,NL-282607,SPV,Telecommunications,Oil & Gas,Active,2017-09-11,2024-04-10,ProviderB,2022-08-07,2023-06-17
ENT000120,Cedar Partners,CEDAR PARTNERS,US,US-677083,Financial Institution,Materials,Mining,Unknown,1982-12-23,2022-12-10,ProviderB,2023-12-20,2024-05-28
ENT000121,Riverstone Partners,RIVERSTONE PARTNERS,CH,,Private Company,Consumer Goods,Power Generation,Inactive,2023-09-27,2021-05-05,Manual Upload,2023-01-25,2024-01-21
ENT000122,Atlas Industries,ATLAS INDUSTRIES,DE,DE-184311,SPV,Real Estate,Power Generation,Inactive,2009-03-05,2024-03-14,ProviderB,2023-06-01,2025-02-03
ENT000123,Falcon Ltd,FALCON,BR,BR-716170,Public Company,Energy,Logistics,Inactive,1982-04-14,2024-06-05,ProviderB,2023-03-28,2024-11-01
ENT000124,Redwood Capital,REDWOOD CAPITAL,NG,NG-829126,Public Company,Financials,Logistics,Active,1989-09-05,2022-11-22,Issuer Feed,2020-08-28,2023-06-25
ENT000125,Frontier Limited,FRONTIER,HK,HK-182700,Private Company,Utilities,Oil & Gas,Unknown,1987-05-17,2023-03-21,Manual Upload,2020-04-20,2025-02-25
ENT000126,BluePeak Energy,BLUEPEAK ENERGY,CA,CA-891605,Public Company,Financials,Logistics,Active,2018-11-17,2024-05-26,KYC Platform,2020-04-13,2024-11-11
ENT000127,BluePeak Group,BLUEPEAK,AE,AE-579770,Financial Institution,Real Estate,Retail,Active,2011-10-22,2021-07-13,Manual Upload,2024-06-03,2023-11-28
ENT000128,Horizon PLC,HORIZON,NG,NG-654953,Financial Institution,Financials,Oil & Gas,Active,1996-05-29,2024-04-02,Internal Master,2024-04-10,2024-05-04
ENT000129,Horizon Ltd,HORIZON,DE,DE-145507,Public Company,Telecommunications,Telecom Services,Active,2003-04-19,2023-01-19,Manual Upload,2023-10-01,2023-08-09
ENT000130,BluePeak Partners,BLUEPEAK PARTNERS,HK,,Government Entity,Industrials,Telecom Services,Inactive,1995-04-30,2023-09-30,ProviderA,2020-04-20,2023-03-03
ENT000131,Frontier PLC,FRONTIER,CA,CA-509025,Private Company,Telecommunications,Private Equity,Active,1997-11-10,2021-10-06,Issuer Feed,2023-12-30,2023-07-07
ENT000132,Cedar Services,CEDAR SERVICES,NL,NL-434332,SPV,Telecommunications,Banking,Inactive,2008-01-28,2023-06-19,KYC Platform,2024-05-17,2024-07-29
ENT000133,Union Partners,UNION PARTNERS,LU,LU-802284,Financial Institution,Industrials,Software,Unknown,1988-07-22,2022-01-28,KYC Platform,2023-07-12,2024-03-26
ENT000134,Lagos Continental Group,LAGOS CONTINENTAL,IE,,Private Company,Industrials,Logistics,Active,2013-06-04,2023-01-28,Internal Master,2021-11-21,2023-12-15
ENT000135,Falcon Partners,FALCON PARTNERS,US,US-153997,Public Company,Consumer Goods,Private Equity,Active,2021-08-06,2023-02-06,KYC Platform,2020-06-01,2024-01-15
ENT000136,Cedar Limited,CEDAR,SG,SG-549343,Public Company,Telecommunications,Software,Active,2022-11-08,2024-10-29,Internal Master,2021-08-03,2024-09-18
ENT000137,Riverstone Finance,RIVERSTONE FINANCE,SG,SG-769350,Private Company,Utilities,Mining,Active,1987-07-31,2023-09-06,KYC Platform,2020-12-01,2024-07-03
ENT000138,Crestline Energy,CRESTLINE ENERGY,FR,FR-220345,Financial Institution,Industrials,Mining,Inactive,1998-02-11,2023-03-26,ProviderB,2022-12-03,2024-05-16
ENT000139,Lagos Continental Investments,LAGOS CONTINENTAL INVESTMENTS,FR,FR-986195,Private Company,Healthcare,Banking,Active,2007-12-08,2022-08-11,ProviderA,2023-12-20,2024-01-31
ENT000140,Korefield Ltd,KOREFIELD,NL,NL-705001,Private Company,Financials,Pharmaceuticals,Active,1994-04-08,2022-05-08,ProviderB,2022-03-25,2023-01-03
ENT000141,Nova Energy,NOVA ENERGY,SG,SG-940657,Public Company,Utilities,Software,Active,1997-05-13,2023-08-11,ProviderA,2020-03-20,2023-09-21
ENT000142,Horizon Energy,HORIZON ENERGY,CA,CA-523077,Financial Institution,Technology,Logistics,Active,1986-02-05,2016-08-10,Internal Master,2023-08-06,2023-04-10
ENT000143,Lagos Continental Finance,LAGOS CONTINENTAL FINANCE,AE,AE-210875,Private Company,Industrials,Mining,Active,2004-08-20,2023-04-17,Internal Master,2022-11-17,2024-09-02
ENT000144,BluePeak Partners,BLUEPEAK PARTNERS,SG,SG-259841,SPV,Materials,Pharmaceuticals,Active,2003-08-05,2023-08-23,ProviderB,2020-03-07,2023-10-06
ENT000145,Meridian Energy,MERIDIAN ENERGY,FR,FR-550581,Fund,Utilities,Telecom Services,Active,2004-04-07,2022-04-25,Issuer Feed,2021-07-28,2023-07-13
ENT000146,PrimeEdge Holdings,PRIMEEDGE,ZA,ZA-629482,Private Company,Healthcare,Oil & Gas,Dissolved,1995-01-07,2023-03-27,KYC Platform,2021-07-31,2024-01-16
ENT000147,Granite Group,GRANITE,HK,HK-760724,Public Company,Industrials,Retail,Active,2013-04-03,2023-04-16,Internal Master,2020-02-26,2024-01-14
ENT000148,Meridian Technologies,MERIDIAN TECHNOLOGIES,NL,NL-815794,Private Company,Healthcare,Pharmaceuticals,Active,2006-09-29,2023-09-24,ProviderB,2021-07-28,2025-01-05
ENT000149,Silvergate Energy,SILVERGATE ENERGY,CH,CH-786458,Private Company,Telecommunications,Mining,Active,1987-10-07,2022-04-07,KYC Platform,2023-09-16,2023-05-22
ENT000150,Cedar Limited,CEDAR,LU,LU-629918,SPV,Energy,Power Generation,Active,1996-03-08,2022-05-25,ProviderA,2020-08-01,2024-10-10
ENT000151,Summit Corporation,SUMMIT,IE,IE-116245,Government Entity,Materials,Software,Active,2009-01-25,2022-06-09,Internal Master,2022-04-25,2023-06-20
ENT000152,Northbridge Services,NORTHBRIDGE SERVICES,FR,FR-576694,Private Company,Materials,Telecom Services,Inactive,1985-02-13,2022-09-07,ProviderA,2022-12-14,2024-09-24
ENT000153,Meridian Ltd,MERIDIAN,AE,AE-837481,Private Company,Technology,Pharmaceuticals,Active,1995-07-01,2022-03-03,Internal Master,2023-02-01,2024-02-29
ENT000154,Cedar Technologies,CEDAR TECHNOLOGIES,ZA,ZA-862944,Public Company,Technology,Logistics,Active,2018-05-23,2021-10-13,ProviderA,2021-06-25,2024-03-01
ENT000155,Cedar Ltd,CEDAR,ZA,ZA-851007,Private Company,Consumer Goods,Logistics,Active,1999-06-08,2023-01-01,KYC Platform,2022-08-02,2024-07-10
ENT000156,,,NG,NG-109679,SPV,Telecommunications,Private Equity,Active,2002-06-04,2024-06-03,Issuer Feed,2023-04-01,2023-03-15
ENT000157,Atlas Holdings,ATLAS,GB,GB-491781,Government Entity,Telecommunications,Software,Active,2009-12-24,2021-02-16,Manual Upload,2022-10-05,2024-09-20
