trade_id,counterparty_entity_id,counterparty_name,issuer_id,issuer_name,instrument_type,instrument_id,isin,trade_date,settlement_date,notional_amount,currency,risk_country,booking_country,exchange_mic,kyc_status,counterparty_risk_rating,lei,sector,source_system,provider_name,provider_confidence_score,ingestion_timestamp,last_verified_date,synthetic_issue_tags
TRD-00000030,ENT-000082,Sterling Infrastructure SA,ISS-000063,Sahara Telecoms Limited,Derivative,DER-537350,GBHNHLLA92UH,2025-03-13,2025-03-13,3536362.05,GBP,CH,CH,XLON,Approved,Low,064DI7N9U47YUL38V8WQ,Materials,PrimeBrokerFeed,ProviderA,0.8848,2025-03-13 09:50:00,2024-02-12,
TRD-00000031,ENT-000226,Atlas Infrastructure LLC,ISS-000110,Pioneer Energy GmbH,Bond,BON-456342,SGSWGR5XQEAJ,2025-05-08,2025-05-08,6314886.66,CAD,CA,CA,XSES,Pending,Medium,CYUZ87C7G23CP78ZC9Y7,Financials,EMS,ProviderB,0.9144,2025-05-10 04:42:00,2024-04-27,
TRD-00000032,ENT-000305,Meridian Energy Limited,ISS-000010,Pioneer Infrastructure Inc,Private Equity,PRI-847717,JPHI804EYNIN,2025-05-24,2025-05-25,3014535.95,EUR,DE,DE,XTKS,Approved,Low,SHORTLEI,Materials,CustodyPlatform,ProviderC,0.6771,2025-05-25 15:30:00,2023-10-20,invalid_lei;low_provider_confidence
TRD-00000033,ENT-000208,Atlas Markets Limited,ISS-000123,Union Holdings LP,Derivative,DER-650750,NLCDUFTAWSZ6,2025-06-24,2025-06-26,2756810.95,EUR,CA,CA,XAMS,Approved,Low,W2MBYWIQC529S85ML8WU,Utilities,CustodyPlatform,ProviderB,0.7991,2025-06-24 21:55:00,2024-02-13,
TRD-00000034,ENT-000007,Nile Holdings PLC,ISS-000216,Northstar Holdings Inc,Bond,BON-660730,US2LSCUWPSIZ,2025-08-22,2025-08-29,3319331.54,JPY,JP,JP,XNYS,Approved,Low,XTPDPFF5E8II49KQ71N8,Technology,ReferenceDataHub,ProviderA,0.9791,2025-08-23 10:35:00,2025-06-14,
TRD-00000035,ENT-000047,Evergreen Mining BV,ISS-000191,Helios Markets LP,Private Equity,PRI-919370,GB000000000,2025-03-07,2025-03-08,678168.83,USD,SG,SG,XSES,Approved,Medium,DZRMH3FNBDVPINE9NNOV,Industrials,OMS,ProviderC,0.9123,2025-03-07 12:34:00,2023-11-17,invalid_isin
TRD-00000036,ENT-000100,Sahara Foods LLC,ISS-000151,Nile Markets SA,,FUN-414192,GBZG5B0E5EN0,2026-04-13,2026-04-13,2890534.13,USD,US,US,XLON,Approved,Low,LGG7JPM7QWRZFXZ3POTF,Financials,PrimeBrokerFeed,ProviderB,0.7462,2026-04-14 12:41:00,2024-11-02,invalid_instrument_type
TRD-00000037,ENT-000227,Cobalt Logistics LLC,ISS-000088,Bluewater Energy LLC,Equity,EQU-739135,FRCRMJ1BMFDY,2025-07-07,2025-07-08,669151.92,EUR,FR,FR,XPAR,Approved,Low,TS3K1SD7J32F6HL8IZ0U,Utilities,EMS,ProviderB,0.7398,2025-07-08 14:59:00,2025-03-23,
TRD-00000038,ENT-000156,Redwood Mining GmbH,ISS-000095,Helios Capital LLC,Derivative,DER-899248,SGE4076BKRIS,2025-11-10,2025-11-12,4913249.16,,GB,GB,XSES,Approved,Low,KECTS377V1IV5WMKZBOO,Industrials,CustodyPlatform,ProviderA,0.9784,2025-11-12 05:00:00,2023-09-21,invalid_currency
TRD-00000039,ENT-000103,Crescent Telecoms LLC,ISS-000205,Falcon Telecoms Limited,Fund,FUN-393750,DEMMQ52SOMK1,2026-05-31,2026-06-03,76846987.8,EUR,JP,JP,XETR,Pending,High,UBR25OW9Y1LYFSPEFRJY,Industrials,ManualUpload,InternalGoldenSource,0.6419,2026-06-02 14:15:00,2025-04-26,high_risk_incomplete_kyc;low_provider_confidence
TRD-00000040,ENT-000294,Lagoon Energy Ltd,ISS-000052,Union Mining SA,Bond,BON-909606,USY1UXI7OGZA,2025-04-01,2025-04-04,3536359.69,USD,SG,SG,XNYS,Approved,Low,7L5N3R81D7MX3JPJT10U,Energy,OMS,ProviderC,0.9742,2025-04-01 02:08:00,2024-06-06,
TRD-00000041,ENT-000329,Quantum Logistics LP,ISS-000106,Sterling Logistics LP,Private Credit,PRI-664982,FRKTV4JPD8R8,2026-02-10,2026-02-24,8664921.99,EUR,SG,SG,XPAR,Expired,Medium,JUF0YOZV8C2RFKBT9H9F,Technology,CustodyPlatform,ProviderC,0.8327,2026-02-11 17:50:00,2024-09-11,
TRD-00000042,ENT-000221,Sahara Foods PLC,ISS-ORPHAN-4690,Atlas Mining Limited,Derivative,DER-122527,NLTZD8H4QBCV,2026-04-22,2026-04-25,2693264.51,EUR,CH,CH,XAMS,Approved,Medium,U58FLM639BCP7TV5ZKBW,Consumer Goods,CustodyPlatform,ProviderC,0.6224,2026-04-24 07:56:00,2024-10-28,low_provider_confidence;orphan_issuer_id
TRD-00000043,ENT-000296,Apex Partners GmbH,ISS-000040,Falcon Partners LLC,Fund,FUN-172631,CHKLXLIM5L6H,2025-06-01,2025-06-02,394676.1,CHF,DE,DE,XSWX,Approved,High,9LC5BDFUTE0XFZIPH6H7,Materials,PrimeBrokerFeed,ProviderC,0.9635,2025-06-03 21:22:00,2025-01-21,
TRD-00000044,ENT-000107,Helios Industries LP,ISS-000098,Cobalt Industries GmbH,Private Credit,PRI-706395,NGR9HKOC8PSC,2026-04-03,2026-04-06,808801.75,NGN,NL,NL,XNSA,Approved,Medium,ULZUS5PUYRZXHM8L9B3N,Utilities,ReferenceDataHub,ProviderA,0.6803,2026-04-05 16:58:00,2025-10-05,low_provider_confidence
TRD-00000045,,Harbour Foods Ltd,ISS-000206,Summit Capital Ltd,Equity,EQU-835276,AUGNCIAX08EV,2026-02-14,2026-02-28,1353490.67,CAD,CA,CA,XASX,Expired,Low,ANYGUXQL9QPR4VXL51N0,Consumer Goods,OMS,InternalGoldenSource,-0.2,2026-02-15 14:14:00,2024-04-17,invalid_or_low_provider_confidence;missing_counterparty_entity_id
TRD-00000046,ENT-000339,Keystone Mining LP,ISS-000076,Sterling Logistics LP,Bond,BON-313990,HK68HZAMA18W,2026-03-01,2026-03-15,4055372.87,GBP,GB,GB,XHKG,Approved,High,5X7CODR082UAZMVFBO1E,Technology,PrimeBrokerFeed,InternalGoldenSource,0.8514,2026-03-01 03:31:00,2025-09-15,
TRD-00000047,ENT-000081,Nile Holdings BV,ISS-000026,Crescent Capital GmbH,Equity,EQU-599377,USP1PFDIX5SM,2025-12-24,2025-12-25,125688.91,NGN,NG,NG,XNYS,Approved,High,VH0TB4QOD4K7YJPCHMB2,Consumer Goods,CustodyPlatform,ProviderC,0.6674,2025-12-24 00:19:00,2025-08-08,low_provider_confidence
TRD-00000048,ENT-000049,Quantum Markets Limited,ISS-000184,Pioneer Partners GmbH,Equity,EQU-705203,NLMC7VH13WSH,2025-10-17,2025-10-22,1052183.33,EUR,CA,CA,XAMS,Approved,Medium,0000000000000000000,Energy,PrimeBrokerFeed,ProviderB,0.7413,2025-10-19 18:33:00,2024-06-30,invalid_lei
TRD-00000049,ENT-000166,Falcon Pharma PLC,ISS-000003,Helios Foods Limited,Fund,FUN-375570,LUQATSWZZA46,2026-05-08,2026-05-11,7475940.91,EUR,US,US,XLUX,Approved,Medium,236I5A7D9146LLIGYU6Y,Telecommunications,ManualUpload,InternalGoldenSource,0.6636,2026-05-10 10:39:00,2025-09-30,low_provider_confidence
TRD-00000050,ENT-000033,Northstar Energy Ltd,ISS-000201,Falcon Energy BV,Equity,EQU-557351,DEV3IRTZE4Y4,2026-03-13,2026-03-20,4025041.76,EUR,AU,AU,XETR,Approved,Medium,024SCOSS3EOQM1H8OJRJ,Energy,ManualUpload,ProviderA,0.9775,2026-03-14 15:28:00,2025-03-22,
TRD-00000051,ENT-000272,Cobalt Logistics Inc,ISS-000135,Falcon Energy PLC,Bond,BON-887589,NGJERZFT207N,2026-01-07,2026-01-12,1523861.69,NGN,JP,JP,XNSA,Approved,Low,K8SLLJKPHCUI2QXLN9CU,Consumer Goods,ReferenceDataHub,ProviderB,0.8201,2026-01-08 04:53:00,2024-04-13,
TRD-00000008,ENT-000285,Orion Capital BV,ISS-000172,Bluewater Foods PLC,Private Equity,PRI-924508,CAPB3LRB472W,2025-08-02,2025-08-09,483738.69,CAD,HK,HK,XTSE,Pending,Low,5HYS3T2O90S1ME4XLA5G,Telecommunications,EMS,InternalGoldenSource,0.7647,2025-08-03 07:25:00,2023-06-11,duplicate_trade_id
TRD-00000053,ENT-000267,Cobalt Energy LP,ISS-000080,Quantum Markets GmbH,Derivative,DER-173822,NLWGAWLZWAG1,2025-04-16,2025-04-30,806358.71,USD,SG,SG,XAMS,Approved,Medium,B33IZLX3AEYV7CS1R8NF,Materials,ReferenceDataHub,ProviderC,0.9438,2025-04-18 10:09:00,2023-07-31,
TRD-00000054,ENT-000307,Quantum Markets Limited,ISS-000222,Orion Pharma GmbH,Derivative,DER-363895,AUC8WBVQNBV1,2025-09-05,2025-09-19,1317998.82,USD,US,US,XASX,Approved,High,535HJHWFNSLK6RNA7L0E,Technology,ReferenceDataHub,ProviderC,0.7753,2025-09-06 11:57:00,2023-08-25,
TRD-00000055,ENT-000193,Evergreen Industries GmbH,ISS-000156,Keystone Foods GmbH,Private Equity,PRI-708302,FRZGTKN5121R,2026-01-27,2026-01-27,4528906.46,EUR,JP,JP,XPAR,Approved,High,LM5MPPQNOMPWJGHF5A8C,Utilities,ReferenceDataHub,InternalGoldenSource,0.9217,2026-01-28 06:23:00,2025-09-28,
TRD-00000056,ENT-000323,Summit Partners PLC,ISS-000243,Bluewater Partners GmbH,Private Credit,PRI-390070,DE52OKSQGORJ,2025-04-12,2025-04-14,34996457.55,EUR,LU,LU,XETR,Pending,Low,C8VYI78SNF69T7VKBB8Q,Technology,CustodyPlatform,ProviderA,0.7401,2025-04-13 21:15:00,2024-04-24,
TRD-00000057,ENT-000276,Summit Foods LP,ISS-000190,Northstar Partners LP,Fund,FUN-841758,NG8LY1GI72U6,2025-08-22,2025-08-24,1240841.27,EURO,GB,GB,XNSA,Pending,Medium,02SK10IFJNT47VEYFA0R,Telecommunications,CustodyPlatform,ProviderC,0.7447,2025-08-23 09:54:00,2025-01-26,invalid_currency
TRD-00000058,ENT-000047,,ISS-000183,Northstar Industries LLC,Fund,FUN-697800,HKGR827LQWVZ,2026-02-19,2026-03-05,4742388.39,USD,SG,SG,XHKG,Expired,Low,DZRMH3FNBDVPINE9NNOV,Industrials,OMS,ProviderC,0.9898,2026-02-20 13:39:00,2025-11-04,missing_or_weak_counterparty_name
TRD-00000059,ENT-000314,Crescent Markets LLC,ISS-000124,Harbour Infrastructure BV,Private Equity,PRI-935502,FRIGV06G6JBY,2026-03-01,2026-03-06,668090.05,EUR,NL,NL,XPAR,Approved,Medium,TFIIAMHBMBN4JP18MFT3,Industrials,PrimeBrokerFeed,ProviderC,0.7796,2026-03-02 09:45:00,2025-01-28,
TRD-00000060,ENT-000244,Union Holdings Limited,ISS-000138,Quantum Energy LP,Private Equity,PRI-702154,DEUH0Q7A2I2G,2025-04-18,2025-05-02,8628925.35,EUR,GB,GB,XETR,Approved,Medium,ZISDX9DA9WHSBP1ZUYZY,Telecommunications,OMS,InternalGoldenSource,0.849,2025-04-20 11:17:00,2024-08-31,
TRD-00000061,ENT-000015,Quantum Mining LLC,ISS-000183,Northstar Industries LLC,Derivative,DER-251239,HKGR827LQWVZ,2026-05-18,2026-05-21,1630224.59,USD,HK,HK,XHKG,Approved,Medium,9AHEJ8CX9J1ICTXCWNPG,Consumer Goods,ManualUpload,ProviderC,0.9392,2026-05-20 17:26:00,2024-10-11,
TRD-00000062,ENT-000016,Lagoon Infrastructure Inc,ISS-000167,Helios Energy Inc,Equity,EQU-597452,NG3HIUJ02H77,2025-05-03,2025-05-05,14308167.36,NGN,LU,LU,XNSA,Approved,High,PKL0BLV0PRKGYC4OM3WT,Technology,EMS,ProviderC,0.6877,2025-05-05 00:44:00,2024-03-11,low_provider_confidence
TRD-00000063,ENT-000032,Union Partners PLC,ISS-000143,Falcon Logistics Limited,Bond,BON-493044,GBCS0NO39YHM,2026-01-18,2026-01-18,12710110.51,GBP,LU,LU,XLON,Approved,Low,PH90O7Y22T1TDGNNQFKP,Industrials,OMS,ProviderB,0.6897,2026-01-21 00:36:00,2025-12-20,low_provider_confidence
TRD-00000064,ENT-000016,Lagoon Infrastructure Inc,ISS-000160,Harbour Industries Limited,Fund,FUN-732819,NLEYSN7NG9RE,2025-05-04,2025-05-18,191927.57,EUR,LU,LU,XAMS,Approved,Medium,PKL0BLV0PRKGYC4OM3WT,Technology,EMS,ProviderC,0.967,2025-05-06 15:12:00,2025-01-21,
TRD-00000065,ENT-000246,Helios Telecoms LLC,ISS-000208,Pioneer Pharma LLC,Private Equity,PRI-893691,CAEFI7TGH5OD,2025-04-12,2025-04-26,3122474.0,CAD,CA,CA,XTSE,Approved,Low,L36192YWOL1A5P6R08XC,Financials,ManualUpload,ProviderB,0.7245,2025-04-14 18:25:00,2023-10-15,
TRD-00000066,ENT-000029,Nile Pharma LP,ISS-000136,Meridian Energy Ltd,Fund,FUN-468852,SGF1VTKMW044,2025-07-12,2025-07-12,5498430.79,USD,HK,HK,XSES,Approved,Low,2BFSOZPTX497W19VW3RT,Healthcare,ManualUpload,ProviderA,0.9248,2025-07-14 01:12:00,2024-09-04,
TRD-00000067,ENT-000293,Northstar Foods PLC,ISS-000164,Evergreen Infrastructure PLC,Private Credit,PRI-263503,LU9U5DZT35HX,2025-01-16,2025-01-16,1344988.65,EUR,HK,HK,XLUX,Approved,Low,VRE741NWET6T18UM0ZQ6,Utilities,EMS,ProviderB,0.8501,2025-01-18 03:02:00,2020-09-26,stale_reference_record
TRD-00000068,ENT-000250,Redwood Industries LP,ISS-000065,Cedar Infrastructure Ltd,Derivative,DER-292265,AUPTC7S82I5U,2025-01-11,2025-01-18,207846.02,EUR,LU,LU,XASX,Approved,Low,KNWDQHDK3Z4T48OYY4QJ,Real Estate,ManualUpload,ProviderC,0.6819,2025-01-13 14:04:00,2024-08-01,low_provider_confidence
TRD-00000069,ENT-000103,Crescent Telecoms LLC,ISS-000033,Cedar Partners LLC,Private Credit,PRI-874212,HK3T3SY94EVI,2025-02-06,2025-02-09,1574574.19,USD,JP,JP,XHKG,Approved,Medium,UBR25OW9Y1LYFSPEFRJY,Industrials,EMS,InternalGoldenSource,0.8409,2025-02-07 23:28:00,2023-11-17,
TRD-00000070,ENT-000201,Quantum Mining GmbH,ISS-000098,Cobalt Industries GmbH,Equity,EQU-984392,NGR9HKOC8PSC,2025-10-26,2025-10-31,945769.69,NGN,CA,CA,XNSA,Approved,Medium,92I8L3178TW48OF2TX0Q,Industrials,EMS,ProviderC,0.826,2025-10-28 08:04:00,2023-05-17,
TRD-00000071,ENT-000289,Quantum Logistics Ltd,ISS-000015,Bluewater Mining BV,Bond,BON-818914,GB02KQN6C3BE,2025-05-03,2025-05-17,2257295.03,GBP,CH,CH,XLON,Expired,Medium,CL9TK51ITY5H598449K6,Financials,ManualUpload,InternalGoldenSource,0.7864,2025-05-05 01:18:00,2023-09-25,
TRD-00000072,ENT-000132,Northstar Foods SA,ISS-000226,Quantum Holdings BV,Equity,EQU-231097,US49N0DFR9UE,2026-01-12,2026-01-19,3887834.99,EUR,DE,DE,XNYS,Approved,Low,WZ6DTQLBZ299PG3GIHAD,Technology,ReferenceDataHub,ProviderC,0.697,2026-01-13 05:25:00,2024-07-06,low_provider_confidence
TRD-00000073,ENT-000338,Lagoon Industries Inc,ISS-000201,Falcon Energy BV,Private Equity,PRI-973346,DEV3IRTZE4Y4,2026-01-08,2026-01-11,1410095.35,EUR,DE,DE,XETR,Approved,Low,EIEIQO7RMB8Q93A1DU10,Healthcare,ManualUpload,InternalGoldenSource,0.6388,2026-01-10 09:19:00,2024-07-01,low_provider_confidence
TRD-00000074,ENT-000206,Quantum Foods PLC,ISS-ORPHAN-1864,Northstar Capital Ltd,Private Credit,PRI-758595,FR1AJB8FYBI3,2025-07-22,2025-07-23,1265163.37,EUR,FR,FR,XPAR,Expired,Low,7N4YTUKC97HQ4TMXDNHP,Telecommunications,OMS,ProviderA,0.9112,2025-07-24 19:47:00,2024-09-01,orphan_issuer_id
TRD-00000075,ENT-000174,Lagoon Foods LLC,ISS-000181,Nile Partners BV,Equity,EQU-688947,SG3AWTV74HR7,2025-10-24,2025-10-26,4837788.86,USD,FR,FR,XSES,Approved,Low,EJB3VCFEDLQ9EOQ0Y2Z1,Consumer Goods,ManualUpload,InternalGoldenSource,0.8789,2025-10-26 04:10:00,2024-01-29,
TRD-00000076,ENT-000186,Sahara Infrastructure SA,ISS-000239,Union Telecoms PLC,Equity,EQU-241498,JPCEW2021S4I,2025-07-06,2025-07-09,13872156.97,USD,HK,HK,XTKS,Expired,High,4YWG1IQ4OFS80QMAA7H7,Financials,ManualUpload,ProviderC,0.8706,2025-07-06 08:11:00,2024-06-22,high_risk_incomplete_kyc
